utterance,response,speaker,responder,error,age,response_time,utterance_time,past_tense,plural,overreg,overlap,source_file,error_type,rl
chicken gone,what did you say Fraser,CHI,MOT,FALSE,24,0.10400000000004184,1.0570000000000164,TRUE,FALSE,FALSE,FALSE,fraser/2-00-08b.xml,no error,5
toesies,toesies,CHI,MOT,FALSE,24,0.0809999999999036,1.6140000000000327,FALSE,TRUE,FALSE,FALSE,fraser/2-00-09a.xml,no error,1
xxx birds,seven birds,CHI,MOT,FALSE,24,-0.03500000000030923,1.2890000000002146,FALSE,TRUE,FALSE,TRUE,fraser/2-00-09a.xml,no error,2
two feets,oh oh oh,CHI,MOT,TRUE,24,0.012000000000170985,1.0559999999998126,FALSE,TRUE,TRUE,FALSE,fraser/2-00-10a.xml,overregularization,3
zero done,you done it,CHI,MOT,TRUE,24,-0.9980000000000473,1.0330000000003565,TRUE,FALSE,FALSE,TRUE,fraser/2-00-10a.xml,other error,3
a put in there,not many are there,CHI,MOT,FALSE,24,0,0.9630000000000223,TRUE,FALSE,FALSE,FALSE,fraser/2-00-10b.xml,no error,4
shapes,this is this is different,CHI,MOT,FALSE,24,-0.38199999999994816,0.3829999999999245,FALSE,TRUE,FALSE,TRUE,fraser/2-00-10b.xml,no error,5
whistles,you and Jwww were building blocks xxx today weren't you,CHI,MOT,FALSE,24,0.7339999999999947,2.4270000000000067,FALSE,TRUE,FALSE,FALSE,fraser/2-00-12a.xml,no error,11
Jwww the balls,Jwww's in the balls isn't he,CHI,MOT,TRUE,24,0.018000000000029104,2.1019999999998618,FALSE,TRUE,FALSE,FALSE,fraser/2-00-12a.xml,other error,8
Jwww no shoes on,yeah,CHI,MOT,TRUE,24,0,1.9039999999999964,FALSE,TRUE,FALSE,FALSE,fraser/2-00-12a.xml,other error,1
glasses on,oh no be careful with them because you're hurting Mummy,CHI,MOT,TRUE,24,0.08099999999967622,1.0570000000002437,FALSE,TRUE,FALSE,FALSE,fraser/2-00-12a.xml,other error,11
glasses on,your glasses are here,CHI,MOT,TRUE,24,0.023000000000138243,1.4389999999998508,FALSE,TRUE,FALSE,FALSE,fraser/2-00-12a.xml,other error,4
gone,it's gone,CHI,MOT,FALSE,24,-1.1489999999998872,1.1489999999998872,TRUE,FALSE,FALSE,TRUE,fraser/2-00-12a.xml,no error,3
a chairs,come on then,CHI,MOT,FALSE,24,0.1670000000001437,1.5899999999999181,FALSE,TRUE,FALSE,FALSE,fraser/2-00-12b.xml,no error,3
bears,hold on,CHI,MOT,FALSE,24,-1.1610000000000582,1.1610000000000582,FALSE,TRUE,FALSE,TRUE,fraser/2-00-12b.xml,no error,2
bears,xxx the microphone,CHI,MOT,FALSE,24,1.0570000000002437,1.0209999999997308,FALSE,TRUE,FALSE,FALSE,fraser/2-00-12b.xml,no error,3
came the sun,and dried all the rain,CHI,MOT,FALSE,24,0.31799999999998363,1.34699999999998,TRUE,FALSE,FALSE,FALSE,fraser/2-00-13b.xml,no error,5
hey my blues,your blues,CHI,MOT,FALSE,24,0.10400000000004184,1.48700000000008,FALSE,TRUE,FALSE,FALSE,fraser/2-00-13b.xml,no error,2
no my yellows,your blues,CHI,MOT,FALSE,24,0.45299999999997453,2.160000000000082,FALSE,TRUE,FALSE,FALSE,fraser/2-00-13b.xml,no error,2
my blues,well,CHI,MOT,FALSE,24,1.5920000000000982,1.6489999999998872,FALSE,TRUE,FALSE,FALSE,fraser/2-00-13b.xml,no error,1
oh a reds silly boy,are you silly boy,CHI,MOT,FALSE,24,1.77599999999984,4.133000000000266,FALSE,TRUE,FALSE,FALSE,fraser/2-00-13b.xml,no error,4
oh Fraser done,oh Fraser what have you done,CHI,MOT,TRUE,24,0.33600000000001273,3.40199999999993,TRUE,FALSE,FALSE,FALSE,fraser/2-00-15a.xml,other error,6
xxx things do,so many things to do,CHI,MOT,TRUE,24,0.29899999999997817,2.0090000000000146,FALSE,TRUE,FALSE,FALSE,fraser/2-00-15a.xml,other error,5
no feets,where's Fraser's feet,CHI,MOT,TRUE,24,0.012000000000170985,1.1840000000001965,FALSE,TRUE,TRUE,FALSE,fraser/2-00-15a.xml,overregularization,5
hands,I've done them,CHI,MOT,FALSE,24,0.3389999999999418,1.393000000000029,FALSE,TRUE,FALSE,FALSE,fraser/2-00-15b.xml,no error,4
steps,yeah the steps are all covered in water as well aren't they,CHI,MOT,FALSE,24,0.12600000000000477,0.5339999999999918,FALSE,TRUE,FALSE,FALSE,fraser/2-00-16a.xml,no error,13
that's hailstones,what's that,CHI,MOT,FALSE,24,0.09899999999998954,4.621000000000038,FALSE,TRUE,FALSE,FALSE,fraser/2-00-16a.xml,no error,3
the ball wet,the ball is wet yes,CHI,MOT,TRUE,24,0.22800000000000864,2.9139999999999873,TRUE,FALSE,FALSE,FALSE,fraser/2-00-16a.xml,other error,5
oh crumbs,yes,CHI,MOT,FALSE,24,0,1.7069999999999936,FALSE,TRUE,FALSE,FALSE,fraser/2-00-16a.xml,no error,1
that was lion get out,what are you saying to the lion,CHI,MOT,TRUE,24,1.4239999999999782,3.2280000000000655,TRUE,FALSE,FALSE,FALSE,fraser/2-00-16a.xml,other error,7
that cards,yeah,CHI,MOT,TRUE,24,0.011000000000080945,1.1959999999999127,FALSE,TRUE,FALSE,FALSE,fraser/2-00-18a.xml,other error,1
broken,oh happy birthday,CHI,MOT,FALSE,24,-0.8600000000000136,0.9410000000000309,TRUE,FALSE,FALSE,TRUE,fraser/2-00-18a.xml,no error,3
yes hugs yes,from great grandma,CHI,MOT,FALSE,24,0.25499999999988177,1.4860000000001037,FALSE,TRUE,FALSE,FALSE,fraser/2-00-18a.xml,no error,3
zero got,oh Fraser don't do that darling,CHI,MOT,TRUE,24,0.2670000000002801,0.7079999999996289,TRUE,FALSE,FALSE,FALSE,fraser/2-00-18a.xml,other error,7
dragons,dragon,CHI,MOT,FALSE,24,0.1269999999999527,0.7319999999999709,FALSE,TRUE,FALSE,FALSE,fraser/2-00-18a.xml,no error,1
Mummy I g g I got chair,you got me,CHI,MOT,FALSE,24,0.045000000000015916,4.353000000000009,TRUE,FALSE,FALSE,FALSE,fraser/2-00-18b.xml,no error,3
no I got see oh gosh,Fraser,CHI,MOT,FALSE,24,1.384999999999991,3.1579999999999586,TRUE,FALSE,FALSE,FALSE,fraser/2-00-18b.xml,no error,1
trains,trains,CHI,MOT,FALSE,24,0.22000000000002728,1.6140000000000327,FALSE,TRUE,FALSE,FALSE,fraser/2-00-18b.xml,no error,1
Twww got balloon,he's got a balloon and what color is the balloon,CHI,MOT,TRUE,24,1.3239999999999554,1.3120000000000118,TRUE,FALSE,FALSE,FALSE,fraser/2-00-18b.xml,other error,11
rescued,rescued what the dragon,CHI,MOT,FALSE,24,0.0580000000002201,2.2059999999999036,TRUE,FALSE,FALSE,FALSE,fraser/2-00-18b.xml,no error,4
fallen down,that's no good is it,CHI,MOT,FALSE,24,1.280999999999949,1.2539999999999054,TRUE,FALSE,FALSE,FALSE,fraser/2-00-18b.xml,no error,6
chairs,to move the chairs don't we,CHI,MOT,FALSE,24,0.39800000000013824,1.5320000000001528,FALSE,TRUE,FALSE,FALSE,fraser/2-00-18b.xml,no error,7
zero got blanket,yes,CHI,MOT,TRUE,24,0.06700000000000728,1.9729999999999563,TRUE,FALSE,FALSE,FALSE,fraser/2-00-18b.xml,other error,1
little blocks,a little box,CHI,MOT,FALSE,24,0.011999999999943611,2.216999999999871,FALSE,TRUE,FALSE,FALSE,fraser/2-00-19a.xml,no error,3
birds have,that's right,CHI,MOT,TRUE,24,-0.9059999999999491,0.9059999999999491,FALSE,TRUE,FALSE,TRUE,fraser/2-00-19a.xml,other error,3
in the pots,in the what,CHI,MOT,FALSE,24,0.56899999999996,1.9279999999998836,FALSE,TRUE,FALSE,FALSE,fraser/2-00-19a.xml,no error,3
sheeps,counting the sheep,CHI,MOT,TRUE,24,0.08100000000013097,1.0329999999999018,FALSE,TRUE,TRUE,FALSE,fraser/2-00-19a.xml,overregularization,3
pears,three plums,CHI,MOT,FALSE,24,1.6019999999998618,1.2540000000001328,FALSE,TRUE,FALSE,FALSE,fraser/2-00-19b.xml,no error,2
three plums,is something coming out there,CHI,MOT,FALSE,24,1.80600000000004,1.683999999999969,FALSE,TRUE,FALSE,FALSE,fraser/2-00-19b.xml,no error,5
Patch got ice,yeah he's got an ice hasn't he,CHI,MOT,TRUE,24,0.057999999999992724,2.311000000000149,TRUE,FALSE,FALSE,FALSE,fraser/2-00-19b.xml,other error,9
cows up there,yes,CHI,MOT,FALSE,24,0.38299999999998136,1.5900000000000318,FALSE,TRUE,FALSE,FALSE,fraser/2-00-20b.xml,no error,1
and cl climbed,and climbed,CHI,MOT,FALSE,24,-0.2319999999999709,1.69500000000005,TRUE,FALSE,FALSE,TRUE,fraser/2-00-20b.xml,no error,2
reached the top,inside Jack hid when he heard a thumping,CHI,MOT,FALSE,24,0.6879999999999882,2.786000000000058,TRUE,FALSE,FALSE,FALSE,fraser/2-00-20b.xml,no error,8
jellies nice,is that nice,CHI,MOT,FALSE,24,0.023000000000024556,1.7530000000000427,FALSE,TRUE,FALSE,FALSE,fraser/2-00-20b.xml,no error,3
monkeys,cream cakes,CHI,MOT,FALSE,24,0.3949999999999818,1.0329999999999018,FALSE,TRUE,FALSE,FALSE,fraser/2-00-20b.xml,no error,2
monkeys,what darling,CHI,MOT,FALSE,24,0.06200000000012551,1.1140000000000327,FALSE,TRUE,FALSE,FALSE,fraser/2-00-20b.xml,no error,2
monkeys,they're cream cakes,CHI,MOT,FALSE,24,1.9729999999999563,1.115000000000009,FALSE,TRUE,FALSE,FALSE,fraser/2-00-20b.xml,no error,4
NA,what's the matter,CHI,MOT,FALSE,24,-0.7190000000000509,0.7200000000000273,TRUE,FALSE,FALSE,TRUE,fraser/2-00-20b.xml,no error,4
where cow gone,cow gone,CHI,MOT,TRUE,24,0.047000000000025466,1.0450000000000728,TRUE,FALSE,FALSE,FALSE,fraser/2-00-20b.xml,other error,2
flowers,flowers,CHI,MOT,FALSE,24,0.35999999999989996,0.8240000000000691,FALSE,TRUE,FALSE,FALSE,fraser/2-00-20v.xml,no error,1
where Jeannine gone,shut the door,CHI,MOT,TRUE,24,-1.2660000000000764,2.125,TRUE,FALSE,FALSE,TRUE,fraser/2-00-20v.xml,other error,3
a girl a train tracks,girl a train tracks,CHI,MOT,FALSE,24,0.3949999999999818,3.0650000000000546,FALSE,TRUE,FALSE,FALSE,fraser/2-00-21a.xml,no error,4
where Daddy gone,where's Daddy gone,CHI,MOT,TRUE,24,0.2909999999999968,1.521000000000015,TRUE,FALSE,FALSE,FALSE,fraser/2-00-21b.xml,other error,4
twos hills,is that a big hill,CHI,MOT,TRUE,24,0.9519999999999982,1.3929999999999154,FALSE,TRUE,FALSE,FALSE,fraser/2-00-21b.xml,other error,5
no,no what,CHI,MOT,FALSE,24,1.1399999999999864,2.26400000000001,TRUE,FALSE,FALSE,FALSE,fraser/2-00-23b.xml,no error,2
cow gone,where's the cow gone,CHI,MOT,FALSE,24,0.13899999999989632,1.2770000000000437,TRUE,FALSE,FALSE,FALSE,fraser/2-00-23b.xml,no error,5
all gone,all gone,CHI,MOT,FALSE,24,-0.7659999999996217,2.1709999999998217,TRUE,FALSE,FALSE,TRUE,fraser/2-00-23b.xml,no error,2
made Awww's,Awww's,CHI,MOT,FALSE,24,0.023000000000138243,2.0429999999996653,TRUE,FALSE,FALSE,FALSE,fraser/2-00-23b.xml,no error,2
look a rabbits,yeah that's the rabbit over there isn't it,CHI,MOT,TRUE,24,0.35899999999999466,1.8930000000000007,FALSE,TRUE,FALSE,FALSE,fraser/2-00-23v.xml,other error,10
sheeps,sheeps,CHI,MOT,TRUE,24,0.16299999999995407,0.5460000000000491,FALSE,TRUE,TRUE,FALSE,fraser/2-00-23v.xml,overregularization,1
sheeps,sheeps,CHI,MOT,TRUE,24,0.16299999999995407,0.5460000000000491,FALSE,TRUE,TRUE,FALSE,fraser/2-00-23v.xml,overregularization,1
a work pennys,yes,CHI,MOT,TRUE,24,0.13900000000001,2.3220000000000027,FALSE,TRUE,FALSE,FALSE,fraser/2-00-23v.xml,other error,1
sheeps,yes,CHI,MOT,TRUE,24,0.06999999999993634,1.3229999999998654,FALSE,TRUE,TRUE,FALSE,fraser/2-00-23v.xml,overregularization,1
a climbed a climbed,and climbed and he didn't stop until he reached,CHI,MOT,FALSE,24,-0.9519999999999982,2.4039999999999964,TRUE,FALSE,FALSE,TRUE,fraser/2-00-23v.xml,no error,10
beans,one two three four five,CHI,MOT,FALSE,24,0.2899999999999636,1.2650000000001,FALSE,TRUE,FALSE,FALSE,fraser/2-00-23v.xml,no error,5
someone broken,who broke that,CHI,MOT,TRUE,24,0.012000000000057298,2.427000000000021,TRUE,FALSE,FALSE,FALSE,fraser/2-00-24a.xml,other error,3
ah well done,that better,CHI,MOT,FALSE,24,0.25499999999999545,2.0779999999999745,TRUE,FALSE,FALSE,FALSE,fraser/2-00-24a.xml,no error,2
head stuck,what,CHI,MOT,FALSE,24,0.13999999999998636,1.3230000000000928,TRUE,FALSE,FALSE,FALSE,fraser/2-00-24b.xml,no error,1
more ba more bale bales hay,yes,CHI,MOT,TRUE,24,0,2.8559999999999945,FALSE,TRUE,FALSE,FALSE,fraser/2-00-24b.xml,other error,1
oh the tractors,it's a tractor isn't it,CHI,MOT,TRUE,24,0.08199999999987995,1.8110000000001492,FALSE,TRUE,FALSE,FALSE,fraser/2-00-24b.xml,other error,7
orange bears,orange bear,CHI,MOT,TRUE,24,0,1.8579999999997199,FALSE,TRUE,FALSE,FALSE,fraser/2-00-24b.xml,other error,2
grew,till it was right out of sight,CHI,MOT,FALSE,24,1.8200000000001637,1.0100000000002183,TRUE,FALSE,FALSE,FALSE,fraser/2-00-26a.xml,no error,7
pots,pots,CHI,MOT,FALSE,24,0.03499999999985448,1.8690000000001419,FALSE,TRUE,FALSE,FALSE,fraser/2-00-26a.xml,no error,1
yeah done I done it,did you do it,CHI,MOT,TRUE,24,0.04599999999982174,3.1579999999999018,TRUE,FALSE,FALSE,FALSE,fraser/2-00-26b.xml,other error,4
xxx found it,have you found it,CHI,MOT,FALSE,24,1.3699999999998909,4.155999999999949,TRUE,FALSE,FALSE,FALSE,fraser/2-00-26b.xml,no error,4
done naughty,oh dear,CHI,MOT,TRUE,24,0,2.2759999999999962,TRUE,FALSE,FALSE,FALSE,fraser/2-00-27b.xml,other error,2
books,yes,CHI,MOT,FALSE,24,-0.8830000000000382,1.6840000000000828,FALSE,TRUE,FALSE,TRUE,fraser/2-00-27b.xml,no error,1
Jwww gone,Jwww's playing with Awww oh Jwww,CHI,MOT,TRUE,24,-0.16800000000012005,1.9390000000000782,TRUE,FALSE,FALSE,TRUE,fraser/2-00-27b.xml,other error,7
beads,think your tea's ready,CHI,MOT,FALSE,24,-0.33599999999978536,1.3699999999998909,FALSE,TRUE,FALSE,TRUE,fraser/2-00-27b.xml,no error,5
spaghetti and chips,oops ooh Mummy almost dropped that,CHI,MOT,FALSE,24,-1.1140000000000327,2.5650000000000546,FALSE,TRUE,FALSE,TRUE,fraser/2-00-27b.xml,no error,6
climbed,and,CHI,MOT,FALSE,24,0.9329999999999927,1.0570000000000164,TRUE,FALSE,FALSE,FALSE,fraser/2-00-27v.xml,no error,1
zero was there,was there,CHI,MOT,TRUE,24,0.8180000000000973,1.7879999999998972,TRUE,FALSE,FALSE,FALSE,fraser/2-00-28b.xml,other error,2
Mummy put Daddy pillow,yeah,CHI,MOT,TRUE,24,0.018000000000029104,2.4969999999998436,TRUE,FALSE,FALSE,FALSE,fraser/2-00-28b.xml,other error,1
a bears,the bears,CHI,MOT,TRUE,24,0.4639999999999418,1.0799999999999272,FALSE,TRUE,FALSE,FALSE,fraser/2-00-28b.xml,other error,2
zero down the slides,and then you went down the slide,CHI,MOT,TRUE,24,-0.3720000000002983,1.6020000000003165,FALSE,TRUE,FALSE,TRUE,fraser/2-00-28b.xml,other error,7
oh no fell it over,did it fall over,CHI,MOT,TRUE,24,0.15000000000009095,2.217999999999847,TRUE,FALSE,FALSE,FALSE,fraser/2-00-28v.xml,other error,4
oh it got me,is it coming to get you,CHI,MOT,FALSE,24,0.13899999999966894,2.04300000000012,TRUE,FALSE,FALSE,FALSE,fraser/2-00-28v.xml,no error,6
oh a all the books,what's that,CHI,MOT,FALSE,24,0.7550000000001091,2.275000000000091,FALSE,TRUE,FALSE,FALSE,fraser/2-00-30a.xml,no error,3
got to xxx dress,you've got school soon,CHI,MOT,TRUE,24,-0.8940000000002328,1.8230000000003201,TRUE,FALSE,FALSE,TRUE,fraser/2-00-30b.xml,other error,5
I come with new shoes,did you,CHI,MOT,FALSE,24,0.023000000000138243,2.9719999999997526,FALSE,TRUE,FALSE,FALSE,fraser/2-00-30b.xml,no error,2
mind all the clouds,mind the clouds,CHI,MOT,FALSE,24,0.13599999999996726,4.213999999999942,FALSE,TRUE,FALSE,FALSE,fraser/2-00-30b.xml,no error,3
oh the car,Fraser the car's gone,CHI,MOT,TRUE,25,0.15100000000029468,2.298999999999978,TRUE,FALSE,FALSE,FALSE,fraser/2-01-02a.xml,other error,5
chips,yeah,CHI,MOT,FALSE,25,-0.7319999999999709,0.8360000000002401,FALSE,TRUE,FALSE,TRUE,fraser/2-01-02b.xml,no error,1
Mummy a lost it the bone,he's lost the bone,CHI,MOT,FALSE,25,0.46800000000030195,2.274999999999636,TRUE,FALSE,FALSE,FALSE,fraser/2-01-02b.xml,no error,5
lost it the bone,lost it the bone,CHI,MOT,FALSE,25,0.6039999999998145,2.0670000000000073,TRUE,FALSE,FALSE,FALSE,fraser/2-01-02b.xml,no error,4
no play books,p play with what,CHI,MOT,FALSE,25,1.8989999999998872,2.1480000000001382,FALSE,TRUE,FALSE,FALSE,fraser/2-01-03b.xml,no error,4
play books,your books,CHI,MOT,FALSE,25,0,1.625,FALSE,TRUE,FALSE,FALSE,fraser/2-01-03b.xml,no error,2
NA,is he stuck,CHI,MOT,FALSE,25,0.0340000000001055,1.3009999999999309,TRUE,FALSE,FALSE,FALSE,fraser/2-01-03b.xml,no error,3
a ducks,NA,CHI,MOT,FALSE,25,-0.18600000000014916,1.1850000000004002,FALSE,TRUE,FALSE,TRUE,fraser/2-01-03b.xml,no error,NA
that socks,whose socks are they,CHI,MOT,FALSE,25,0.17400000000009186,1.2889999999999873,FALSE,TRUE,FALSE,FALSE,fraser/2-01-05a.xml,no error,4
Jwww been,oh look what's here,CHI,MOT,FALSE,25,0.023000000000138243,1.6599999999998545,TRUE,FALSE,FALSE,FALSE,fraser/2-01-05a.xml,no error,5
that socks,whose socks are they,CHI,MOT,FALSE,25,0.17400000000009186,1.2889999999999873,FALSE,TRUE,FALSE,FALSE,fraser/2-01-05b.xml,no error,4
Jwww been,oh look what's here,CHI,MOT,FALSE,25,0.023000000000138243,1.6599999999998545,TRUE,FALSE,FALSE,FALSE,fraser/2-01-05b.xml,no error,5
flowers,yeah those are flowers,CHI,MOT,FALSE,25,0,1.044999999999618,FALSE,TRUE,FALSE,FALSE,fraser/2-01-06a.xml,no error,4
Helen a him,you reading the story now are you,CHI,MOT,TRUE,25,2.0270000000000437,2.5539999999996326,TRUE,FALSE,FALSE,FALSE,fraser/2-01-06a.xml,other error,7
no more monkeys jump the bed,no more monkeys jumping on the bed,CHI,MOT,FALSE,25,0.3249999999998181,1.068000000000211,FALSE,TRUE,FALSE,FALSE,fraser/2-01-06b.xml,no error,7
no more monkeys jump on the bed,that's right,CHI,MOT,FALSE,25,0.04599999999982174,2.8099999999999454,FALSE,TRUE,FALSE,FALSE,fraser/2-01-06b.xml,no error,3
tell well done,well done,CHI,MOT,TRUE,25,0.023000000000024556,2.032000000000039,TRUE,FALSE,FALSE,FALSE,fraser/2-01-07a.xml,other error,2
mixed up,yes,CHI,MOT,FALSE,25,0.035000000000081855,1.0329999999999018,TRUE,FALSE,FALSE,FALSE,fraser/2-01-07a.xml,no error,1
mixed up,mixed up,CHI,MOT,FALSE,25,0.0929999999998472,1.0450000000000728,TRUE,FALSE,FALSE,FALSE,fraser/2-01-07a.xml,no error,2
loved you,I love you too Fraser,CHI,MOT,TRUE,25,0.010999999999967258,1.1149999999997817,TRUE,FALSE,FALSE,FALSE,fraser/2-01-07a.xml,other error,5
I loved you loved you,I love you too Fraser,CHI,MOT,TRUE,25,0.07000000000016371,3.505999999999858,TRUE,FALSE,FALSE,FALSE,fraser/2-01-07a.xml,other error,5
I loved you,where's Fraser,CHI,MOT,TRUE,25,1.6480000000001382,2.030999999999949,TRUE,FALSE,FALSE,FALSE,fraser/2-01-07a.xml,other error,3
stars,stars,CHI,MOT,FALSE,25,0,1.2300000000000182,FALSE,TRUE,FALSE,FALSE,fraser/2-01-07a.xml,no error,1
elephant lost Lwww,he's lost Lwww,CHI,MOT,FALSE,25,0.13899999999989632,2.576999999999998,TRUE,FALSE,FALSE,FALSE,fraser/2-01-07b.xml,no error,4
bits in there,you just have to have a look and find them,CHI,MOT,FALSE,25,1.0450000000000728,1.7179999999998472,FALSE,TRUE,FALSE,FALSE,fraser/2-01-07b.xml,no error,10
play a blocks,yes and had he got little ball there,CHI,MOT,FALSE,25,-0.3129999999999882,1.288000000000011,FALSE,TRUE,FALSE,TRUE,fraser/2-01-09a.xml,no error,8
where's the flowers,the flowers are on this page look,CHI,MOT,FALSE,25,-0.5800000000001546,1.9500000000000455,FALSE,TRUE,FALSE,TRUE,fraser/2-01-09a.xml,no error,7
I getting the shoes,no,CHI,MOT,TRUE,25,-0.04600000000004911,1.6599999999998545,FALSE,TRUE,FALSE,TRUE,fraser/2-01-10b.xml,other error,1
a sheeps have,how many sheeps are there,CHI,MOT,TRUE,25,0.20899999999983265,1.6480000000001382,FALSE,TRUE,TRUE,FALSE,fraser/2-01-10b.xml,overregularization,5
that one came,Jwww Fraser,CHI,MOT,FALSE,25,0.15299999999979264,2.4839999999999236,TRUE,FALSE,FALSE,FALSE,fraser/2-01-10v.xml,no error,2
all gone now,Chicken_Licken,CHI,MOT,FALSE,25,-1.3809999999998581,1.3820000000000618,TRUE,FALSE,FALSE,TRUE,fraser/2-01-10v.xml,no error,2
look my nails well,yeah,CHI,MOT,TRUE,26,-0.63900000000001,1.9850000000000136,FALSE,TRUE,FALSE,TRUE,fraser/2-02-01b.xml,other error,1
hide in the cushions,come come this way,CHI,MOT,FALSE,26,-0.44099999999980355,1.381999999999607,FALSE,TRUE,FALSE,TRUE,fraser/2-02-01b.xml,no error,4
lion lion's got stripes,that's right,CHI,MOT,TRUE,26,-0.2899999999999636,2.228999999999928,FALSE,TRUE,FALSE,TRUE,fraser/2-02-02a.xml,other error,3
berries,they're raspberries,CHI,MOT,FALSE,26,-0.18599999999992178,0.9059999999999491,FALSE,TRUE,FALSE,TRUE,fraser/2-02-02a.xml,no error,3
bit messy,what about,CHI,MOT,FALSE,26,-1.5439999999999827,1.5439999999999827,TRUE,FALSE,FALSE,TRUE,fraser/2-02-02a.xml,no error,2
broken,has it broken,CHI,MOT,FALSE,26,-0.3020000000001346,1.19600000000014,TRUE,FALSE,FALSE,TRUE,fraser/2-02-02a.xml,no error,3
and Jwww and Awww are left,Jwww and Awww are still sleeping Fraser,CHI,MOT,FALSE,26,0.023000000000024556,3.5989999999999895,TRUE,FALSE,FALSE,FALSE,fraser/2-02-02b.xml,no error,7
he in the works,yeah,CHI,MOT,TRUE,26,0.07000000000005002,1.34699999999998,FALSE,TRUE,FALSE,FALSE,fraser/2-02-02b.xml,other error,1
sleepings,yeah,CHI,MOT,TRUE,26,0,1.7060000000000173,FALSE,TRUE,FALSE,FALSE,fraser/2-02-02b.xml,other error,1
I did it,you did it,CHI,MOT,FALSE,26,0.6290000000001328,1.4510000000000218,TRUE,FALSE,FALSE,FALSE,fraser/2-02-02b.xml,no error,3
oh frogs,frogs,CHI,MOT,FALSE,26,-0.7309999999999945,2.2059999999999036,FALSE,TRUE,FALSE,TRUE,fraser/2-02-02b.xml,no error,1
they got a baby ducks,yes,CHI,MOT,TRUE,26,0.011000000000194632,1.7189999999998236,FALSE,TRUE,FALSE,FALSE,fraser/2-02-02b.xml,other error,1
butterfly there lost cups,pardon,CHI,MOT,FALSE,26,0.20900000000006003,2.90300000000002,TRUE,TRUE,FALSE,FALSE,fraser/2-02-02b.xml,no error,1
she's scared the spider,she's scared of the spider,CHI,MOT,TRUE,26,0.03499999999985448,2.3450000000002547,TRUE,FALSE,FALSE,FALSE,fraser/2-02-02b.xml,other error,6
where's the animals,where's the animals,CHI,MOT,FALSE,26,0.09200000000009823,2.3460000000000036,FALSE,TRUE,FALSE,FALSE,fraser/2-02-02b.xml,no error,4
all gone,don't break it,CHI,MOT,FALSE,26,0.0340000000001055,1.3820000000000618,TRUE,FALSE,FALSE,FALSE,fraser/2-02-02b.xml,no error,4
I broken again,oh Fraser,CHI,MOT,TRUE,26,0,2.507999999999811,TRUE,FALSE,FALSE,FALSE,fraser/2-02-04a.xml,other error,2
I found it,yes,CHI,MOT,FALSE,26,0.047000000000025466,1.3809999999998581,TRUE,FALSE,FALSE,FALSE,fraser/2-02-04b.xml,no error,1
Little_Bill got hamster,yeah,CHI,MOT,TRUE,26,0.08099999999967622,2.5080000000002656,TRUE,FALSE,FALSE,FALSE,fraser/2-02-04b.xml,other error,1
