utterance,response,speaker,responder,error,age,response_time,utterance_time,past_tense,plural,overreg,overlap,source_file,error_type,rl
Bob a gone a sleep,it's,CHI,MOT,FALSE,24,-0.44199999999955253,2.1239999999997963,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-16a.xml,no error,2
where Jeannine gone,oh xxx,CHI,MOT,TRUE,24,-0.487999999999829,2.031999999999698,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-16a.xml,other error,2
look what Kwww got,look,CHI,FAT,TRUE,24,-0.3949999999999818,2.0090000000000146,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-16b.xml,other error,1
Gwww falled down,oh no,CHI,FAT,TRUE,24,0.018000000000029104,2.298999999999978,TRUE,FALSE,TRUE,FALSE,eleanor/2-00-16b.xml,overregularization,2
he's watering the flowers,he's watering the,CHI,MOT,FALSE,24,0.0039999999999054126,2.6239999999997963,FALSE,TRUE,FALSE,FALSE,eleanor/2-00-17a.xml,no error,4
mice did,mm,CHI,MOT,FALSE,24,0.1280000000000001,1.4860000000000007,TRUE,TRUE,FALSE,FALSE,eleanor/2-00-17b.xml,no error,1
Dad where's the ice gone,Eleanor what are you doing,CHI,MOT,FALSE,24,0.3729999999999336,1.9370000000000118,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-17b.xml,no error,5
this here what put one,oh we'll put it in our lounge,CHI,FAT,FALSE,24,-0.5459999999998217,2.27599999999984,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-17b.xml,no error,8
finished xxx,just wait a minute,CHI,FAT,FALSE,24,0.5479999999997744,1.20699999999988,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-17b.xml,no error,4
I did rolly,wow,CHI,FAT,TRUE,24,0.3229999999998654,1.9400000000000546,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-17b.xml,other error,1
doors,and thirteen,CHI,MOT,FALSE,24,0.027000000000043656,0.650000000000091,FALSE,TRUE,FALSE,FALSE,eleanor/2-00-18a.xml,no error,2
where's xxx gone,no,CHI,MOT,FALSE,24,-0.9050000000002001,2.2519999999999527,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-18a.xml,no error,1
where's xxx gone,you're a funny girl,CHI,MOT,FALSE,24,-0.2670000000002801,1.5090000000000146,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-18a.xml,no error,5
head shoulder knees and toes knees and toes,NA,CHI,FAT,TRUE,24,-4.410999999999831,4.410999999999831,FALSE,TRUE,FALSE,TRUE,eleanor/2-00-22b.xml,other error,NA
no I done me wet,have you done a weewee,CHI,MOT,TRUE,24,0.17800000000033833,2.42699999999968,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-22b.xml,other error,5
Po where Lala gone,um,CHI,FAT,TRUE,24,0.09300000000030195,2.29300000000012,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-23b.xml,other error,1
I got pink nose,you got a pink nose,CHI,MOT,TRUE,24,0.21000000000003638,1.5550000000000637,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-23v.xml,other error,5
I see the spiders the museum,spiders were there a lot of spiders were they big or were they small,CHI,MOT,TRUE,24,0.05199999999990723,2.461999999999989,FALSE,TRUE,FALSE,FALSE,eleanor/2-00-23v.xml,other error,14
no men,good girl,CHI,MOT,FALSE,24,0.09200000000009823,0.5809999999996762,FALSE,TRUE,FALSE,FALSE,eleanor/2-00-23v.xml,no error,2
my bees,that bee's gone to sleep he's tired,CHI,MOT,FALSE,24,-0.6270000000001801,1.4630000000001928,FALSE,TRUE,FALSE,TRUE,eleanor/2-00-24a.xml,no error,9
blue they're broken,look blue shall we do the paws blue look,CHI,MOT,FALSE,24,1.3050000000000637,2.5540000000000873,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-24a.xml,no error,9
I got blue,now could you get a red and yellow,CHI,MOT,FALSE,24,0,1.1609999999998308,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-24a.xml,no error,8
elephants,and what's this,CHI,MOT,FALSE,24,0.07099999999991269,1.3589999999999236,FALSE,TRUE,FALSE,FALSE,eleanor/2-00-24a.xml,no error,4
tracks,no that's a track,CHI,MOT,FALSE,24,0.0340000000001055,0.6039999999998145,FALSE,TRUE,FALSE,FALSE,eleanor/2-00-24a.xml,no error,5
rabbits,rabbits good girl,CHI,MOT,FALSE,24,-0.3949999999999818,0.974999999999909,FALSE,TRUE,FALSE,TRUE,eleanor/2-00-24a.xml,no error,3
fell down,oh no and what did Dadda do when he when he had fallen darling,CHI,MOT,FALSE,24,0.027999999999792635,0.8250000000002728,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-24a.xml,no error,14
I did Tellytubbies on,where,CHI,FAT,TRUE,24,0.15100000000001046,2.623999999999967,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-24b.xml,other error,1
gone the shop,gone to the shop,CHI,FAT,TRUE,24,0.5740000000000123,1.7300000000000182,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-24b.xml,other error,4
smarties,smarties,CHI,MOT,FALSE,24,-1.183999999999969,1.183999999999969,FALSE,TRUE,FALSE,TRUE,eleanor/2-00-26a.xml,no error,1
all rolled around,what is it though,CHI,MOT,FALSE,24,0.04699999999979809,1.6950000000001637,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-26a.xml,no error,4
xxx join the dots,oh have you got lots and lots of dots there,CHI,MOT,FALSE,24,3.2549999999996544,2.508000000000038,FALSE,TRUE,FALSE,FALSE,eleanor/2-00-26a.xml,no error,10
I got dirty hands,oh Eleanor let's have a look,CHI,MOT,TRUE,24,-0.6970000000001164,2.0670000000000073,FALSE,TRUE,FALSE,TRUE,eleanor/2-00-26a.xml,other error,7
it did fall down like this,oh,CHI,MOT,FALSE,24,-1.1610000000000582,2.438000000000102,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-26a.xml,no error,1
he did it oh miaow miaow,did Pilchard say miaow miaow,CHI,MOT,FALSE,24,0.011999999999716238,3.262000000000171,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-26a.xml,no error,5
what happened Pilchard,er try and remember correctly,CHI,FAT,TRUE,24,0.8569999999999709,2.4980000000000473,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-26b.xml,other error,5
look I did painting,wow,CHI,FAT,TRUE,24,1.009999999999991,2.15300000000002,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-26b.xml,other error,1
I used it,what's that called,CHI,MOT,FALSE,24,0.5639999999998508,1.7870000000000346,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-27a.xml,no error,4
I found it,oh goo you're a clever girl,CHI,MOT,FALSE,24,-1.719000000000051,2.0790000000001783,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-27a.xml,no error,7
trousers,blue jeans,CHI,MOT,FALSE,24,-1.2420000000001892,1.6720000000000255,FALSE,TRUE,FALSE,TRUE,eleanor/2-00-27a.xml,no error,2
I want red strawberries,oh look,CHI,MOT,FALSE,24,-1.2660000000000764,2.7519999999999527,FALSE,TRUE,FALSE,TRUE,eleanor/2-00-27a.xml,no error,2
I xxx strawberries,Mama hasn't got strawberries,CHI,MOT,FALSE,24,-1.1790000000000873,2.04300000000012,FALSE,TRUE,FALSE,TRUE,eleanor/2-00-27a.xml,no error,5
they're my toys,xxx,CHI,FAT,FALSE,24,-1.322,1.323,FALSE,TRUE,FALSE,TRUE,eleanor/2-00-28a.xml,no error,1
look and these puzzles,thank you,CHI,MOT,FALSE,24,-1.3350000000000364,1.8690000000000282,FALSE,TRUE,FALSE,TRUE,eleanor/2-00-28a.xml,no error,2
look at these puzzles,it's a jigsaw darling,CHI,MOT,FALSE,24,0.3069999999999027,2.4150000000000773,FALSE,TRUE,FALSE,FALSE,eleanor/2-00-28a.xml,no error,5
where did I,waste your time,CHI,FAT,FALSE,24,0.48699999999996635,1.0450000000000728,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-28a.xml,no error,3
Eleanor Eleanor be tired,right give me a kiss first,CHI,MOT,TRUE,24,-0.3249999999999318,1.6829999999999927,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-28a.xml,other error,6
look I made spring time Dada,yeah what what season is that darling,CHI,MOT,FALSE,24,-2.1670000000001437,3.2390000000000327,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-28a.xml,no error,7
er Eleanor did xxx,do you want do you want to go to the toilet,CHI,MOT,FALSE,24,-2.05399999999986,3.4710000000000036,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-28a.xml,no error,11
two bears live xxx,whoops,CHI,MOT,FALSE,24,-3.2849999999998545,3.2849999999998545,FALSE,TRUE,FALSE,TRUE,eleanor/2-00-28a.xml,no error,1
eggs and birds,eggs in the nest,CHI,MOT,FALSE,24,0.2669999999998254,1.0570000000002437,FALSE,TRUE,FALSE,FALSE,eleanor/2-00-28a.xml,no error,4
no they're little dots,that,CHI,MOT,FALSE,24,0.03500000000030923,2.125,FALSE,TRUE,FALSE,FALSE,eleanor/2-00-28a.xml,no error,1
I make chicken legs,what is chicken xxx,CHI,FAT,FALSE,24,0.02299999999991087,2.5190000000000055,FALSE,TRUE,FALSE,FALSE,eleanor/2-00-28b.xml,no error,4
I got big crater beasts book,www,CHI,FAT,FALSE,24,-3.3330000000000837,3.3330000000000837,TRUE,TRUE,FALSE,TRUE,eleanor/2-00-28b.xml,no error,1
I have got a dog with hair,www,CHI,FAT,FALSE,24,-1.8230000000003201,3.2510000000002037,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-28b.xml,no error,1
did a dinner,you drew a man,CHI,MOT,FALSE,24,-1.6610000000000582,1.69600000000014,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-29a.xml,no error,4
baby done xxx,oh no,CHI,MOT,TRUE,24,0.06899999999995998,2.147999999999911,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-29a.xml,other error,2
look I done nappie,would you like to do a weewee,CHI,MOT,TRUE,24,-0.6270000000000024,1.8340000000000032,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-30a.xml,other error,7
no I I done weewee,have you done weewee,CHI,MOT,TRUE,24,0.242999999999995,3.007000000000005,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-30a.xml,other error,4
I don't like sheeps,you don't like,CHI,MOT,TRUE,24,0.46399999999999864,2.275000000000034,FALSE,TRUE,TRUE,FALSE,eleanor/2-00-30a.xml,overregularization,4
I don't like worms and chips,I know you don't like,CHI,MOT,FALSE,24,-0.7319999999999709,3.0419999999999163,FALSE,TRUE,FALSE,TRUE,eleanor/2-00-30a.xml,no error,6
I don't like sheeps,sheeps,CHI,MOT,TRUE,24,0.010999999999967258,2.636000000000024,FALSE,TRUE,TRUE,FALSE,eleanor/2-00-30b.xml,overregularization,1
fallen down,oh Awww,CHI,MOT,FALSE,24,-0.7899999999999636,1.2770000000000437,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-30b.xml,no error,2
I liked it Winnie_the_pooh had friends,oh,CHI,MOT,TRUE,25,2.83199999999988,3.518000000000029,FALSE,TRUE,FALSE,FALSE,eleanor/2-01-00a.xml,other error,1
caterpillars,caterpillars,CHI,MOT,FALSE,25,0.022999999999683496,1.1140000000000327,FALSE,TRUE,FALSE,FALSE,eleanor/2-01-00a.xml,no error,1
stars,xxx the other ones I've got look,CHI,MOT,FALSE,25,-0.7419999999999902,0.742999999999995,FALSE,TRUE,FALSE,TRUE,eleanor/2-01-00b.xml,no error,8
I got eggs nothing,nothing,CHI,MOT,FALSE,25,0,2.4490000000000016,TRUE,FALSE,FALSE,FALSE,eleanor/2-01-02a.xml,no error,1
xxx but Dalmatian gone a Dalmatian all gone,what's a Dalmatian got on you tell us has he got spots or stripes,CHI,MOT,TRUE,25,0.19099999999997408,7.524000000000001,TRUE,FALSE,FALSE,FALSE,eleanor/2-01-02a.xml,other error,15
xxx urr spots,spots good girl,CHI,MOT,FALSE,25,0.16300000000001091,1.521000000000015,FALSE,TRUE,FALSE,FALSE,eleanor/2-01-02a.xml,no error,3
I built this cow,clown,CHI,MOT,FALSE,25,0.160000000000025,5.479999999999961,TRUE,FALSE,FALSE,FALSE,eleanor/2-01-02a.xml,no error,1
where are your things,www,CHI,MOT,FALSE,25,-3.355000000000018,3.355000000000018,FALSE,TRUE,FALSE,TRUE,eleanor/2-01-02b.xml,no error,1
noodles,noodles how many noodles,CHI,MOT,FALSE,25,-0.42899999999985994,0.7539999999999054,FALSE,TRUE,FALSE,TRUE,eleanor/2-01-06a.xml,no error,4
seeds,so Marjorie_Daw don't you have new master,CHI,MOT,FALSE,25,0.6100000000001273,1.05600000000004,FALSE,TRUE,FALSE,FALSE,eleanor/2-01-06a.xml,no error,9
tired,ah,CHI,MOT,FALSE,25,0.021000000000185537,0.7190000000000509,TRUE,FALSE,FALSE,FALSE,eleanor/2-01-06a.xml,no error,1
he's annoyed with Winnie_the_Pooh,all right,CHI,MOT,FALSE,25,0.023000000000024556,2.925999999999931,TRUE,FALSE,FALSE,FALSE,eleanor/2-01-07a.xml,no error,2
they xxx came,right,CHI,MOT,FALSE,25,0.3709999999998672,2.7630000000001473,TRUE,FALSE,FALSE,FALSE,eleanor/2-01-07a.xml,no error,1
he's hit his leg,Eleanor hold Mama,CHI,MOT,FALSE,25,0.057999999999992724,1.7420000000001892,TRUE,FALSE,FALSE,FALSE,eleanor/2-01-07a.xml,no error,3
gone,oop,CHI,MOT,FALSE,25,2.5470000000000255,1.4520000000002256,TRUE,FALSE,FALSE,FALSE,eleanor/2-01-07a.xml,no error,1
um Noo_Noo got it with a ball,really,CHI,MOT,FALSE,25,0.10200000000008913,3.5289999999999964,TRUE,FALSE,FALSE,FALSE,eleanor/2-01-08v.xml,no error,1
gave Eleanor cake and then come back and someone ate it,so Dada went to get Eleanor a cake and when he came back someone scratched it,CHI,MOT,FALSE,25,0.2780000000002474,4.8409999999998945,TRUE,FALSE,FALSE,FALSE,eleanor/2-01-08v.xml,no error,16
all my friends gone swimming,right,CHI,MOT,TRUE,26,0.5399999999999636,2.9600000000000364,FALSE,TRUE,FALSE,FALSE,eleanor/2-02-00b.xml,other error,1
stuck,this dress is stuck,CHI,MOT,FALSE,26,-0.650000000000091,0.6849999999999454,TRUE,FALSE,FALSE,TRUE,eleanor/2-02-00v.xml,no error,4
I doing acrobats,acrobat,CHI,MOT,TRUE,26,0.6570000000000391,2.2749999999999773,FALSE,TRUE,FALSE,FALSE,eleanor/2-02-02a.xml,other error,1
Swww and me making clays,there you go,CHI,MOT,TRUE,26,0.9169999999999163,3.298000000000002,FALSE,TRUE,FALSE,FALSE,eleanor/2-02-02a.xml,other error,3
what does Daddy's eyes,are you making Daddy,CHI,MOT,TRUE,26,0.02299999999991087,1.9510000000000218,FALSE,TRUE,FALSE,FALSE,eleanor/2-02-02a.xml,other error,4
she's pouring a water can to the flowers,she's watering the,CHI,MOT,TRUE,26,-0.3949999999999818,3.4479999999998654,FALSE,TRUE,FALSE,TRUE,eleanor/2-02-02a.xml,other error,4
three hats,and,CHI,MOT,FALSE,26,-0.9290000000000873,0.9290000000000873,FALSE,TRUE,FALSE,TRUE,eleanor/2-02-02a.xml,no error,1
I did it and you do it too,I did it and you do it too,CHI,MOT,FALSE,26,-3.6569999999999823,3.6569999999999823,TRUE,FALSE,FALSE,TRUE,eleanor/2-02-03a.xml,no error,8
bees,what've we got,CHI,MOT,FALSE,26,-1.1720000000000255,1.1730000000000018,FALSE,TRUE,FALSE,TRUE,eleanor/2-02-03a.xml,no error,4
knees and toes,toes,CHI,MOT,FALSE,26,-0.63799999999992,1.252999999999929,FALSE,TRUE,FALSE,TRUE,eleanor/2-02-03a.xml,no error,1
gone,ooh,CHI,FAT,FALSE,26,0.41399999999998727,0.9169999999999163,TRUE,FALSE,FALSE,FALSE,eleanor/2-02-03b.xml,no error,1
stuck,are you stuck,CHI,MOT,FALSE,26,0.7900000000000773,0.7189999999999372,TRUE,FALSE,FALSE,FALSE,eleanor/2-02-03b.xml,no error,3
it's cooled down,it's what darling,CHI,MOT,FALSE,26,0.9139999999999873,1.821999999999889,TRUE,FALSE,FALSE,FALSE,eleanor/2-02-03b.xml,no error,4
I didn't Mum,Eleanor,CHI,MOT,FALSE,26,-0.9630000000001928,1.9039999999999964,TRUE,FALSE,FALSE,TRUE,eleanor/2-02-03b.xml,no error,1
it's not fair to my bees,okay,CHI,MOT,FALSE,26,0,1.788000000000011,FALSE,TRUE,FALSE,FALSE,eleanor/2-02-03b.xml,no error,1
these people having their picnic,okay,CHI,FAT,TRUE,26,0.20800000000008367,4.213999999999942,FALSE,TRUE,FALSE,FALSE,eleanor/2-02-03b.xml,other error,1
cooking bears,xxx,CHI,MOT,FALSE,26,2.602999999999952,1.323000000000036,FALSE,TRUE,FALSE,FALSE,eleanor/2-02-04a.xml,no error,1
why xxx put xxx there,what's that in xxx,CHI,MOT,FALSE,26,-1.6020000000000891,2.1240000000000236,TRUE,FALSE,FALSE,TRUE,eleanor/2-02-04a.xml,no error,5
I'm doing a little little jewels on it,yeah well you have to cut some nice shapes,CHI,MOT,FALSE,26,0.6149999999997817,3.344000000000051,FALSE,TRUE,FALSE,FALSE,eleanor/2-02-04a.xml,no error,9
I cut only diamonds,you sure,CHI,MOT,FALSE,26,-0.9400000000000546,1.9970000000002983,FALSE,TRUE,FALSE,TRUE,eleanor/2-02-04a.xml,no error,2
I dried this one,we'll play another game,CHI,MOT,FALSE,26,3.66700000000003,2.1359999999999673,TRUE,FALSE,FALSE,FALSE,eleanor/2-02-05a.xml,no error,5
knees and toes,yes,CHI,MOT,FALSE,26,0.011999999999716238,1.300000000000182,FALSE,TRUE,FALSE,FALSE,eleanor/2-02-05a.xml,no error,1
knees and toes,knees and toes and,CHI,MOT,FALSE,26,0.7660000000000764,1.5790000000001783,FALSE,TRUE,FALSE,FALSE,eleanor/2-02-05a.xml,no error,4
shoulders,then point to your shoulders,CHI,MOT,FALSE,26,-0.31300000000010186,0.7309999999997672,FALSE,TRUE,FALSE,TRUE,eleanor/2-02-05a.xml,no error,5
knees and toes,yeah,CHI,MOT,FALSE,26,0.03499999999985448,0.9290000000000873,FALSE,TRUE,FALSE,FALSE,eleanor/2-02-05a.xml,no error,1
knees and toes,P Po's watching darling,CHI,MOT,FALSE,26,0.06999999999970896,1.3810000000003129,FALSE,TRUE,FALSE,FALSE,eleanor/2-02-05a.xml,no error,5
you do the s again xxx potatoes,xxx gone to,CHI,MOT,FALSE,26,0.07000000000016371,4.8449999999998,FALSE,TRUE,FALSE,FALSE,eleanor/2-02-05a.xml,no error,3
I've already done it,have you finished,CHI,MOT,FALSE,26,0.012000000000170985,1.6489999999998872,TRUE,FALSE,FALSE,FALSE,eleanor/2-02-05a.xml,no error,3
two little gentlemen sitting on a,two little what darling,CHI,MOT,FALSE,27,1.5420000000000016,3.0420000000000016,FALSE,TRUE,FALSE,FALSE,eleanor/2-03-00a.xml,no error,4
gentlemen,two little tinkermens,CHI,MOT,FALSE,27,1.1730000000000018,1.914999999999992,FALSE,TRUE,FALSE,FALSE,eleanor/2-03-00a.xml,no error,3
three cakes,three,CHI,MOT,FALSE,27,-0.8350000000000364,1.3460000000000036,FALSE,TRUE,FALSE,TRUE,eleanor/2-03-00a.xml,no error,1
I make lots of,sorry,CHI,MOT,FALSE,27,0.2319999999999709,2.2530000000001564,FALSE,TRUE,FALSE,FALSE,eleanor/2-03-00a.xml,no error,1
oh it's broken,oh,CHI,MOT,FALSE,27,-0.9400000000000546,1.3350000000000364,TRUE,FALSE,FALSE,TRUE,eleanor/2-03-00a.xml,no error,1
