,utterance,response,response_time,speaker,responder,utterance_time,error,age,past_tense,plural,overlap,source_file,overreg_candidate,manual_code
25,I did Tellytubbies on,where,0.151,CHI,FAT,2.624,TRUE,24,TRUE,FALSE,FALSE,eleanor/2-00-24b.xml,TRUE,F
26,gone the shop,gone to the shop,0.574,CHI,FAT,1.73,TRUE,24,TRUE,FALSE,FALSE,eleanor/2-00-24b.xml,TRUE,F
27,I got dirty hands,oh Eleanor let's have a look,-0.697,CHI,MOT,2.067,TRUE,24,FALSE,TRUE,TRUE,eleanor/2-00-26a.xml,TRUE,F
28,what happened Pilchard,er try and remember correctly,0.857,CHI,FAT,2.498,TRUE,24,TRUE,FALSE,FALSE,eleanor/2-00-26b.xml,TRUE,F
29,look I did painting,wow,1.01,CHI,FAT,2.153,TRUE,24,TRUE,FALSE,FALSE,eleanor/2-00-26b.xml,TRUE,F
30,Eleanor Eleanor be tired,right give me a kiss first,-0.325,CHI,MOT,1.683,TRUE,24,TRUE,FALSE,TRUE,eleanor/2-00-28a.xml,TRUE,F
31,baby done xxx,oh no,0.069,CHI,MOT,2.148,TRUE,24,TRUE,FALSE,FALSE,eleanor/2-00-29a.xml,TRUE,F
32,look I done nappie,would you like to do a weewee,-0.627,CHI,MOT,1.834,TRUE,24,TRUE,FALSE,TRUE,eleanor/2-00-30a.xml,TRUE,F
33,no I I done weewee,have you done weewee,0.243,CHI,MOT,3.007,TRUE,24,TRUE,FALSE,FALSE,eleanor/2-00-30a.xml,TRUE,F
34,I don't like sheeps,you don't like,0.464,CHI,MOT,2.275,TRUE,24,FALSE,TRUE,FALSE,eleanor/2-00-30a.xml,TRUE,T
35,I don't like sheeps,sheeps,0.011,CHI,MOT,2.636,TRUE,24,FALSE,TRUE,FALSE,eleanor/2-00-30b.xml,TRUE,T
36,I liked it Winnie_the_pooh had friends,oh,2.832,CHI,MOT,3.518,TRUE,25,FALSE,TRUE,FALSE,eleanor/2-01-00a.xml,TRUE,F
37,xxx but Dalmatian gone a Dalmatian all gone,what's a Dalmatian got on you tell us has he got spots or stripes,0.191,CHI,MOT,7.524,TRUE,25,TRUE,FALSE,FALSE,eleanor/2-01-02a.xml,TRUE,F
38,all my friends gone swimming,right,0.54,CHI,MOT,2.96,TRUE,26,FALSE,TRUE,FALSE,eleanor/2-02-00b.xml,TRUE,F
39,I doing acrobats,acrobat,0.657,CHI,MOT,2.275,TRUE,26,FALSE,TRUE,FALSE,eleanor/2-02-02a.xml,TRUE,F
40,Swww and me making clays,there you go,0.917,CHI,MOT,3.298,TRUE,26,FALSE,TRUE,FALSE,eleanor/2-02-02a.xml,TRUE,F
41,what does Daddy's eyes,are you making Daddy,0.023,CHI,MOT,1.951,TRUE,26,FALSE,TRUE,FALSE,eleanor/2-02-02a.xml,TRUE,F
42,she's pouring a water can to the flowers,she's watering the,-0.395,CHI,MOT,3.448,TRUE,26,FALSE,TRUE,TRUE,eleanor/2-02-02a.xml,TRUE,F
43,these people having their picnic,okay,0.208,CHI,FAT,4.214,TRUE,26,FALSE,TRUE,FALSE,eleanor/2-02-03b.xml,TRUE,F
44,I got xxx,sorry,0.469,CHI,MOT,1.776,TRUE,27,TRUE,FALSE,FALSE,eleanor/2-03-00b.xml,TRUE,F
45,I made pocket,aha,0.035,CHI,FAT,1.463,TRUE,27,TRUE,FALSE,FALSE,eleanor/2-03-00b.xml,TRUE,F
46,where did your turn Daddy,NA,-2.786,CHI,FAT,2.914,TRUE,27,TRUE,FALSE,TRUE,eleanor/2-03-00b.xml,TRUE,F
47,there some rabbits,oh,-0.488,CHI,MOT,1.73,TRUE,27,FALSE,TRUE,TRUE,eleanor/2-03-01v.xml,TRUE,F
48,not not we done that one,which one,0.198,CHI,MOT,2.844,TRUE,27,TRUE,FALSE,FALSE,eleanor/2-03-04a.xml,TRUE,F
49,I got one of those,what are they called,-0.22,CHI,MOT,1.74,TRUE,27,TRUE,FALSE,TRUE,eleanor/2-03-04a.xml,TRUE,F
50,I haven't got tail,tail you haven't got a tail,0.023,CHI,MOT,2.333,TRUE,27,TRUE,FALSE,FALSE,eleanor/2-03-04a.xml,TRUE,F
51,Mum where's Bob's gone,is it not in here,-1.335,CHI,MOT,2.334,TRUE,27,TRUE,FALSE,TRUE,eleanor/2-03-04b.xml,TRUE,F
52,there's your shoes,uhhuh,-0.708,CHI,FAT,1.428,TRUE,28,FALSE,TRUE,TRUE,eleanor/2-04-02a.xml,TRUE,F
53,and the spider eat the sausages,oh at the uh puppet show,0.301,CHI,MOT,3.333,TRUE,28,FALSE,TRUE,FALSE,eleanor/2-04-04a.xml,TRUE,F
54,we see the seagulls,ooh,-0.36,CHI,FAT,2.566,TRUE,28,FALSE,TRUE,TRUE,eleanor/2-04-04b.xml,TRUE,F
55,Little_bo_peep has lost sheep,and doesn't know where to,0.139,CHI,MOT,2.578,TRUE,28,TRUE,FALSE,FALSE,eleanor/2-04-05a.xml,TRUE,F
56,I saw sheeps yesterday,did you see sheep yesterday,0,CHI,MOT,2.996,TRUE,28,FALSE,TRUE,FALSE,eleanor/2-04-05a.xml,TRUE,T
57,we done now,no,0.383,CHI,MOT,0.999,TRUE,28,TRUE,FALSE,FALSE,eleanor/2-04-05a.xml,TRUE,F
58,I hurted my foot,what stuff have you got,0.174,CHI,MOT,1.753,TRUE,29,TRUE,FALSE,FALSE,eleanor/2-05-01b.xml,TRUE,T
59,Dada walked past the tree and this apple fallen down on his head,NA,2.324,CHI,MOT,4.609,TRUE,29,TRUE,FALSE,FALSE,eleanor/2-05-01b.xml,TRUE,F
60,he's been work,you've been to work,0.926,CHI,MOT,2.728,TRUE,29,TRUE,FALSE,FALSE,eleanor/2-05-03a.xml,TRUE,F
61,I wanted drink of milk in there like Ha Hwww,yeah,0.069,CHI,MOT,5.062,TRUE,29,TRUE,FALSE,FALSE,eleanor/2-05-05a.xml,TRUE,F
62,I go and get carrots,are you going to sit down,1.312,CHI,MOT,1.985,TRUE,29,FALSE,TRUE,FALSE,eleanor/2-05-05a.xml,TRUE,F
63,I married,hello,1.179,CHI,MOT,1.649,TRUE,29,TRUE,FALSE,FALSE,eleanor/2-05-05a.xml,TRUE,F
64,they got pink face,NA,0.034,CHI,MOT,1.521,TRUE,29,TRUE,FALSE,FALSE,eleanor/2-05-05a.xml,TRUE,F
65,I weren't,cry and I won't take you anywhere,2.322,CHI,MOT,0.824,TRUE,30,TRUE,FALSE,FALSE,eleanor/2-06-00a.xml,TRUE,F
66,climbed up the stairs then she fee she falled down,she climbed up the stairs and she'd fallen down,0.069,CHI,MOT,3.785,TRUE,30,TRUE,FALSE,FALSE,eleanor/2-06-02v.xml,TRUE,T
67,sheeps,sheep,0.198,CHI,MOT,0.882,TRUE,30,FALSE,TRUE,FALSE,eleanor/2-06-03a.xml,TRUE,T
68,is that is that did hurt,that hurts,0,CHI,MOT,2.543,TRUE,30,TRUE,FALSE,FALSE,eleanor/2-06-04a.xml,TRUE,F
69,there's someone missed,who's that,-0.894,CHI,MOT,1.684,TRUE,31,TRUE,FALSE,TRUE,eleanor/2-07-03a.xml,TRUE,F
70,have you got parachute,no,0.023,CHI,MOT,1.567,TRUE,31,TRUE,FALSE,FALSE,eleanor/2-07-03a.xml,TRUE,F
71,a toys,Eleanor what does this say,-0.302,CHI,MOT,0.731,TRUE,31,FALSE,TRUE,TRUE,eleanor/2-07-04a.xml,TRUE,F
72,I found it,xxx,-0.906,CHI,MOT,1.545,TRUE,31,TRUE,FALSE,TRUE,eleanor/2-07-05a.xml,TRUE,F
73,can I just woke up,right you put it in,-0.313,CHI,MOT,1.567,TRUE,31,TRUE,FALSE,TRUE,eleanor/2-07-05a.xml,TRUE,F
74,look here's my shoes,oh put them on then,-0.534,CHI,MOT,1.87,TRUE,31,FALSE,TRUE,TRUE,eleanor/2-07-05a.xml,TRUE,F
75,he makes me some children tea,gonna going to make your children some tea,0.731,CHI,MOT,3.088,TRUE,31,FALSE,TRUE,FALSE,eleanor/2-07-05a.xml,TRUE,F
76,I just put this in here it doesn't mix them up,it doesn't what darling,0.128,CHI,MOT,5.236,TRUE,31,TRUE,FALSE,FALSE,eleanor/2-07-06v.xml,TRUE,F
77,the bunnies making a noise,the bunnies are making a noise,0.092,CHI,MOT,2.195,TRUE,31,FALSE,TRUE,FALSE,eleanor/2-07-06v.xml,TRUE,F
78,I drewed drew,drew,0.329,CHI,MOT,1.509,TRUE,32,TRUE,FALSE,FALSE,eleanor/2-08-00a.xml,TRUE,T
79,leave the other ones off,yeah,-0.615,CHI,MOT,2.415,TRUE,32,FALSE,TRUE,TRUE,eleanor/2-08-02b.xml,TRUE,F
80,do you see my birds,yeah,-0.337,CHI,MOT,2.136,TRUE,32,FALSE,TRUE,TRUE,eleanor/2-08-02b.xml,TRUE,F
81,I've bought this for bake cakes track,look Eleanor look,-2.171,CHI,MOT,2.438,TRUE,32,TRUE,TRUE,TRUE,eleanor/2-08-04v.xml,TRUE,F
82,xxx this is losted lost,sorry darling,1.377,CHI,MOT,1.764,TRUE,32,TRUE,FALSE,FALSE,eleanor/2-08-04v.xml,TRUE,T
83,this lost,what's lost,0.321,CHI,MOT,1.103,TRUE,32,TRUE,FALSE,FALSE,eleanor/2-08-04v.xml,TRUE,F
84,you catched it,you caught it darling,0.643,CHI,MOT,1.544,TRUE,32,TRUE,FALSE,FALSE,eleanor/2-08-04v.xml,TRUE,T
85,when you gonna going to get some more presents,you're gonna going to get lots of presents,-0.5,CHI,MOT,2.299,TRUE,32,FALSE,TRUE,TRUE,eleanor/2-08-10b.xml,TRUE,F
86,two little dog came back one day,mhm,0.011,CHI,MOT,4.273,TRUE,32,TRUE,FALSE,FALSE,eleanor/2-08-10b.xml,TRUE,F
87,supposed to have two ear,he's only got one,-0.801,CHI,MOT,1.66,TRUE,32,TRUE,FALSE,TRUE,eleanor/2-08-11a.xml,TRUE,F
88,did share with Frosty,yeah,0.697,CHI,FAT,1.985,TRUE,32,TRUE,FALSE,FALSE,eleanor/2-08-11b.xml,TRUE,F
89,he's been he waked up too early,woke up too early darling,0.056,CHI,MOT,3.297,TRUE,33,TRUE,FALSE,FALSE,eleanor/2-09-01a.xml,TRUE,?
90,he not going to get any presents,he's getting no presents,-0.674,CHI,MOT,3.309,TRUE,33,FALSE,TRUE,TRUE,eleanor/2-09-01a.xml,TRUE,F
91,I done it,no,0,CHI,MOT,1.568,TRUE,33,TRUE,FALSE,FALSE,eleanor/2-09-01b.xml,TRUE,F
92,you have to broke them do you,not broke them,-0.569,CHI,MOT,2.089,TRUE,33,TRUE,FALSE,TRUE,eleanor/2-09-02a.xml,TRUE,F
93,no they not gone out,where have they gone,0,CHI,MOT,1.881,TRUE,33,TRUE,FALSE,FALSE,eleanor/2-09-02b.xml,TRUE,F
94,because Ted was come early,NA,0.012,CHI,MOT,2.113,TRUE,33,TRUE,FALSE,FALSE,eleanor/2-09-04a.xml,TRUE,F
95,you burned your arm,that's right,1.146,CHI,FAT,4.006,TRUE,33,TRUE,FALSE,FALSE,eleanor/2-09-04b.xml,TRUE,T
96,the tea's fell out,again,0,CHI,FAT,1.939,TRUE,33,TRUE,FALSE,FALSE,eleanor/2-09-04b.xml,TRUE,F
97,who spilled it,mm,0.011,CHI,FAT,1.475,TRUE,33,TRUE,FALSE,FALSE,eleanor/2-09-04b.xml,TRUE,T
98,then they saw a knock on the door,mhm,1.347,CHI,FAT,3.402,TRUE,33,TRUE,FALSE,FALSE,eleanor/2-09-04b.xml,TRUE,F
99,then the big bad wolf puffed then he puffed then he blowed the house down,uhoh,0.011,CHI,FAT,7.199,TRUE,33,TRUE,FALSE,FALSE,eleanor/2-09-04b.xml,TRUE,T
100,I have blues as well,are you copying me again,0.349,CHI,MOT,2.031,TRUE,33,FALSE,TRUE,FALSE,eleanor/2-09-05b.xml,TRUE,F
101,I got a bigger fish,oh,0.162,CHI,MOT,1.544,TRUE,33,TRUE,FALSE,FALSE,eleanor/2-09-05v.xml,TRUE,F
102,she didn't woke up,she didn't wake up,0.279,CHI,MOT,1.3,TRUE,33,TRUE,FALSE,FALSE,eleanor/2-09-05v.xml,TRUE,F
103,I have done on the water,no,0.035,CHI,MOT,1.811,TRUE,34,TRUE,FALSE,FALSE,eleanor/2-10-01a.xml,TRUE,F
104,then what happened Mister_bear xxx the seeds,oh,0.418,CHI,FAT,6.025,TRUE,34,TRUE,FALSE,FALSE,eleanor/2-10-01b.xml,TRUE,F
105,he can help the books putting away,xxx,0.011,CHI,FAT,2.903,TRUE,34,FALSE,TRUE,FALSE,eleanor/2-10-01b.xml,TRUE,F
106,this book's tored torn,this what,0.011,CHI,MOT,2.137,TRUE,34,TRUE,FALSE,FALSE,eleanor/2-10-02a.xml,TRUE,T
107,took my hairs,xxx,0,CHI,MOT,1.741,TRUE,34,FALSE,TRUE,FALSE,eleanor/2-10-02a.xml,TRUE,T
108,he's done poopoo,who did,0.011,CHI,FAT,1.335,TRUE,34,TRUE,FALSE,FALSE,eleanor/2-10-02b.xml,TRUE,F
109,just Teddy did weewee,oh,0.206,CHI,FAT,1.602,TRUE,34,TRUE,FALSE,FALSE,eleanor/2-10-02b.xml,TRUE,F
110,he's done he's just done spilt on the swing,spilt what Darling,0.139,CHI,FAT,4.296,TRUE,34,TRUE,FALSE,FALSE,eleanor/2-10-02b.xml,TRUE,F
111,he he didn't spilt it,no,0,CHI,FAT,1.695,TRUE,34,TRUE,FALSE,FALSE,eleanor/2-10-02b.xml,TRUE,F
112,he just got scarf on,oh,0.081,CHI,FAT,1.614,TRUE,34,TRUE,FALSE,FALSE,eleanor/2-10-02b.xml,TRUE,F
113,he just got hat on,mm,0.11,CHI,FAT,1.463,TRUE,34,TRUE,FALSE,FALSE,eleanor/2-10-02b.xml,TRUE,F
114,he just got glove on,mm,0.175,CHI,FAT,1.799,TRUE,34,TRUE,FALSE,FALSE,eleanor/2-10-02b.xml,TRUE,F
115,I forgotten,oh dear,0.07,CHI,FAT,0.952,TRUE,34,TRUE,FALSE,FALSE,eleanor/2-10-02b.xml,TRUE,F
116,do you think these bears ones do fit him,I hope so,0.313,CHI,FAT,3.17,TRUE,34,FALSE,TRUE,FALSE,eleanor/2-10-02b.xml,TRUE,F
117,he he just done poopoo in his pants,xxx,-0.998,CHI,FAT,3.367,TRUE,34,TRUE,FALSE,TRUE,eleanor/2-10-02b.xml,TRUE,F
118,I going to swimming lessons,is it,1.951,CHI,MOT,2.368,TRUE,34,FALSE,TRUE,FALSE,eleanor/2-10-03a.xml,TRUE,F
119,I just put these here,well I think we should find the tray and put them all together then we can't find them when we need them,0.638,CHI,MOT,2.218,TRUE,34,TRUE,FALSE,FALSE,eleanor/2-10-03a.xml,TRUE,F
120,down came rain,hm,0.127,CHI,FAT,1.823,TRUE,35,TRUE,FALSE,FALSE,eleanor/2-11-01b.xml,TRUE,F
121,where the Bob_builder gone,xxx the fall,0.116,CHI,FAT,2.264,TRUE,35,TRUE,FALSE,FALSE,eleanor/2-11-01b.xml,TRUE,F
122,and the and the and ponies in in a stable,that's right,0.024,CHI,FAT,4.899,TRUE,35,FALSE,TRUE,FALSE,eleanor/2-11-03b.xml,TRUE,F
123,I didn't broke it,er it's called the counting train,0.875,CHI,MOT,1.811,TRUE,35,TRUE,FALSE,FALSE,eleanor/2-11-04a.xml,TRUE,F
124,he doesn't want eat rats,no,-0.093,CHI,MOT,2.09,TRUE,35,FALSE,TRUE,TRUE,eleanor/2-11-04a.xml,TRUE,F
125,your trousers falling down,oh,-0.801,CHI,FAT,1.614,TRUE,35,FALSE,TRUE,TRUE,eleanor/2-11-04b.xml,TRUE,F
126,I done one,oh,-1.091,CHI,FAT,1.138,TRUE,35,TRUE,FALSE,TRUE,eleanor/2-11-04b.xml,TRUE,F
127,I just got children,no animals,0.035,CHI,FAT,1.915,TRUE,35,TRUE,TRUE,FALSE,eleanor/2-11-04b.xml,TRUE,F
128,I'm finished one,you gonna going to do any more colors,0.975,CHI,FAT,1.904,TRUE,35,TRUE,FALSE,FALSE,eleanor/2-11-04b.xml,TRUE,F
129,I picked in the crab today,yeah,-0.116,CHI,FAT,1.88,TRUE,35,TRUE,FALSE,TRUE,eleanor/2-11-04b.xml,TRUE,F
130,you got smelly toes,Eleanor,0.279,CHI,MOT,2.02,TRUE,35,TRUE,FALSE,FALSE,eleanor/2-11-06a.xml,TRUE,F
131,have you got mouse,xxx this is called the mouse,0.488,CHI,FAT,1.172,TRUE,35,TRUE,FALSE,FALSE,eleanor/2-11-06b.xml,TRUE,F
132,that's a numbers two,oh yes,0.151,CHI,FAT,2.345,TRUE,35,FALSE,TRUE,FALSE,eleanor/2-11-06b.xml,TRUE,F
133,I winned,you did not win,0.011,CHI,MOT,1.069,TRUE,35,TRUE,FALSE,FALSE,eleanor/2-11-09v.xml,TRUE,T
134,have you got diabetes,she said you've got diabetes and grandmother hasn't,0.314,CHI,MOT,2.101,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-00v.xml,TRUE,F
135,I just did carried,just did carried,0.035,CHI,MOT,2.298,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-01a.xml,TRUE,F
136,Dada drawed that,Dada,0.081,CHI,MOT,2.055,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-01a.xml,TRUE,T
137,it was accident,right,0.064,CHI,MOT,1.649,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-01a.xml,TRUE,F
138,you scareded scared it,did what,0.011,CHI,MOT,1.846,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-01a.xml,TRUE,T
139,and you put your sunglasses when there's sun and then,that's right,0,CHI,FAT,4.308,TRUE,36,FALSE,TRUE,FALSE,eleanor/3-00-02b.xml,TRUE,F
140,it's got planet on,ooh,0.139,CHI,FAT,1.602,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-02b.xml,TRUE,F
141,zero throwed it on the floor,Sammy,0.592,CHI,FAT,1.95,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-02b.xml,TRUE,T
142,she did wee in her pants,yeah,0.023,CHI,FAT,1.904,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-02b.xml,TRUE,F
143,opened your eye,okay,0.427,CHI,FAT,1.289,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-06b.xml,TRUE,F
144,I took it out,why,0.278,CHI,FAT,2.822,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-06b.xml,TRUE,F
145,when I were a baby,when I w,0.139,CHI,MOT,2.195,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-09a.xml,TRUE,F
146,take men oh stay ladies over they,red,0.198,CHI,MOT,5.491,TRUE,36,FALSE,TRUE,FALSE,eleanor/3-00-09a.xml,TRUE,F
147,see them run away run them stop,shark,0.204,CHI,MOT,5.457,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-09a.xml,TRUE,F
148,have you never been big children,I've never been on a climbing frame,0.024,CHI,MOT,3.157,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-11b.xml,TRUE,F
149,Daddy have you never seen high seat,see what,1.8,CHI,FAT,2.983,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-11b.xml,TRUE,F
150,oy I got boot,number,0,CHI,MOT,1.846,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-14a.xml,TRUE,F
151,Mummy there's got water in there,what what water,0.082,CHI,MOT,2.658,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-14a.xml,TRUE,F
152,it was Barbie_umbrella,Barbie_umbrella,0.162,CHI,FAT,2.288,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-15a.xml,TRUE,F
153,it was Barbie umbrella,a baby umbrella,0.035,CHI,FAT,2.078,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-15b.xml,TRUE,F
154,oh looky she got jumper,she's got a nice jumper hasn't she,0.18,CHI,MOT,2.427,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-16a.xml,TRUE,F
155,she's got friend,ah,0,CHI,FAT,0.0009999999997,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-16b.xml,TRUE,F
156,ow oh I got oh I got leg ache,leg ache,0.52,CHI,MOT,4.424,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-17a.xml,TRUE,F
157,I know who trod that,mhm,0.151,CHI,MOT,3.088,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-18b.xml,TRUE,F
158,I I thought it was got eight,um it might have eight,0.346,CHI,MOT,3.1,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-18b.xml,TRUE,F
159,he hadn't had a Mummy,he didn't have a Mummy,0.244,CHI,MOT,1.95,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-18v.xml,TRUE,F
160,magic fairy got some fruit,is there any to share,0.188,CHI,FAT,3.68,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-21b.xml,TRUE,F
161,she gone xxx,she woke up early,-0.325,CHI,MOT,1.01,TRUE,36,TRUE,FALSE,TRUE,eleanor/3-00-21v.xml,TRUE,F
162,Wwww took away,oh she wants to share it does she,0.023,CHI,FAT,2.067,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-22b.xml,TRUE,F
163,with my sharp nails they crack,no,0.183,CHI,MOT,2.426,TRUE,36,FALSE,TRUE,FALSE,eleanor/3-00-24a.xml,TRUE,F
164,eight thirties,eight thirty,0.181,CHI,MOT,1.137,TRUE,36,FALSE,TRUE,FALSE,eleanor/3-00-24a.xml,TRUE,F
165,did you bought that,I bought it yes,0.104,CHI,MOT,1.312,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-24b.xml,TRUE,F
166,I weren't,you weren't,0,CHI,MOT,1.602,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-29a.xml,TRUE,F
167,I did have a face painting at Gullivers_world,oh,0.035,CHI,FAT,4.644,TRUE,36,TRUE,FALSE,FALSE,eleanor/3-00-30b.xml,TRUE,F
168,a lots of stars,not not too many darling,-0.662,CHI,FAT,1.684,TRUE,36,FALSE,TRUE,TRUE,eleanor/3-00-30b.xml,TRUE,F
