,utterance,response,response_time,speaker,responder,utterance_time,error,age,past_tense,plural,overlap,overreg_candidate,manual_code
27,some moneys,some money,-0.012,CHI,MOT,1.254,TRUE,28,FALSE,TRUE,FALSE,TRUE,FALSE
28,there's moneys,moneys,-0.128,CHI,MOT,1.138,TRUE,28,FALSE,TRUE,FALSE,TRUE,FALSE
29,big moneys,big moneys,0.107,CHI,MOT,1.207,TRUE,28,FALSE,TRUE,FALSE,TRUE,FALSE
30,two moneys,are you going back to play with Mummy's money,0.547,CHI,MOT,1.115,TRUE,28,FALSE,TRUE,FALSE,TRUE,FALSE
31,two foots,two foots,0.245,CHI,MOT,1.666,TRUE,28,FALSE,TRUE,FALSE,TRUE,TRUE
32,one feet,what color's feet,0.532,CHI,MOT,1.188,TRUE,28,FALSE,TRUE,FALSE,TRUE,FALSE
33,two peoples,two people,0.046,CHI,MOT,1.486,TRUE,28,FALSE,TRUE,FALSE,TRUE,TRUE
34,two moneys,two moneys,-0.104,CHI,MOT,1.37,TRUE,28,FALSE,TRUE,FALSE,TRUE,FALSE
35,pinks,what color,0.713,CHI,MOT,1.393,TRUE,28,FALSE,TRUE,FALSE,TRUE,FALSE
36,pinks,pink pigs,0.186,CHI,MOT,0.905,TRUE,28,FALSE,TRUE,FALSE,TRUE,FALSE
37,a moneys,if you have all your toys out together you lose interest don't you,0.636,CHI,MOT,1.404,TRUE,28,FALSE,TRUE,FALSE,TRUE,FALSE
38,one crisps please,are you giving him crisps as well,-0.07,CHI,MOT,1.916,TRUE,28,FALSE,TRUE,FALSE,TRUE,FALSE
39,the money the money the moneys,the moneys the moneys,-0.046,CHI,MOT,2.554,TRUE,28,FALSE,TRUE,FALSE,TRUE,FALSE
40,the two moneys,that's right,-0.255,CHI,MOT,1.625,TRUE,28,FALSE,TRUE,FALSE,TRUE,FALSE
41,one pounds,and these are a silver color,-0.035,CHI,MOT,1.962,TRUE,28,FALSE,TRUE,FALSE,TRUE,FALSE
42,broke one,broke one,0.058,CHI,MOT,1.195,TRUE,28,TRUE,FALSE,FALSE,TRUE,FALSE
43,all done more,all done more,0.058,CHI,MOT,1.23,TRUE,28,TRUE,FALSE,FALSE,TRUE,FALSE
44,toys boxes,ah,0.221,CHI,INV,1.753,TRUE,28,FALSE,TRUE,FALSE,TRUE,FALSE
45,a goings,they're all there now,-1.567,CHI,INV,1.567,TRUE,28,FALSE,TRUE,TRUE,TRUE,FALSE
46,chips MacDonald's,chips MacDonald's,0.093,CHI,MOT,1.567,TRUE,29,FALSE,TRUE,FALSE,TRUE,FALSE
47,sit an hours,sit an hour,0.609,CHI,MOT,1.602,TRUE,29,FALSE,TRUE,FALSE,TRUE,FALSE
48,an hours,an hours,0.037,CHI,MOT,0.777,TRUE,29,FALSE,TRUE,FALSE,TRUE,FALSE
49,dear oh dear an hours,sit an hour,0.804,CHI,MOT,3.193,TRUE,29,FALSE,TRUE,FALSE,TRUE,FALSE
50,Mummy xxx the moneys,Mummy's bringing some money,0.35,CHI,MOT,2.46,TRUE,29,FALSE,TRUE,FALSE,TRUE,FALSE
51,xxx the moneys,there we are,1.147,CHI,MOT,1.588,TRUE,29,FALSE,TRUE,FALSE,TRUE,FALSE
52,more moneys,more moneys,-0.001,CHI,MOT,1.096,TRUE,29,FALSE,TRUE,FALSE,TRUE,FALSE
53,moneys,with some money,-0.063,CHI,MOT,1.015,TRUE,29,FALSE,TRUE,FALSE,TRUE,FALSE
54,Dimitra opened,okay,0.426,CHI,INV,1.599,TRUE,29,TRUE,FALSE,FALSE,TRUE,FALSE
55,Thomas pocket moneys,Thomas pocket,1.486,CHI,MOT,2.844,TRUE,29,FALSE,TRUE,FALSE,TRUE,FALSE
56,train two moneys,are you going to have a cup of tea with Mummy like you did yesterday,0.673,CHI,MOT,2.217,TRUE,29,FALSE,TRUE,FALSE,TRUE,FALSE
57,twos hat,two hats from McDonalds,0.173,CHI,MOT,1.254,TRUE,29,FALSE,TRUE,FALSE,TRUE,FALSE
58,a ones train,we've not seen Purdie have we,8.835,CHI,MOT,2.067,TRUE,29,FALSE,TRUE,FALSE,TRUE,FALSE
59,a big bites,mhm,0.064,CHI,MOT,0.964,TRUE,29,FALSE,TRUE,FALSE,TRUE,FALSE
60,a tree falled over,the tree's going to fall over because the train is going to hit them,0.011,CHI,MOT,1.812,TRUE,29,TRUE,FALSE,FALSE,TRUE,TRUE
61,two moneys,yes,-0.035,CHI,MOT,0.894,TRUE,30,FALSE,TRUE,FALSE,TRUE,FALSE
62,xxx broke broken now,what's the matter,-0.058,CHI,MOT,1.916,TRUE,30,TRUE,FALSE,FALSE,TRUE,FALSE
63,no baby in that ones,the baby goes in that one,0.348,CHI,INV,1.486,TRUE,30,FALSE,TRUE,FALSE,TRUE,FALSE
64,two moneys please driver,I don't think the digger man takes money does he,1.887,CHI,MOT,2.817,TRUE,30,FALSE,TRUE,FALSE,TRUE,FALSE
65,two man a ladders,two man a ladders,0.275,CHI,MOT,2.075,TRUE,30,FALSE,TRUE,FALSE,TRUE,FALSE
66,two mans men,we can do it with the men,0.907,CHI,MOT,0.811,TRUE,30,FALSE,TRUE,FALSE,TRUE,TRUE
67,two moneys,two moneys please,0.291,CHI,MOT,0.754,TRUE,30,FALSE,TRUE,FALSE,TRUE,FALSE
68,another steps,that was very clever really wasn't it,0.162,CHI,MOT,1.638,TRUE,30,FALSE,TRUE,FALSE,TRUE,FALSE
69,dropped ones,you've dropped ones,0.151,CHI,MOT,1.579,TRUE,30,FALSE,TRUE,FALSE,TRUE,FALSE
70,another traffic lights,another traffic lights,0.987,CHI,MOT,1.718,TRUE,30,FALSE,TRUE,FALSE,TRUE,FALSE
71,paying the moneys,you've finished your moneys,0.848,CHI,MOT,1.463,TRUE,30,FALSE,TRUE,FALSE,TRUE,FALSE
72,two ones,two ones,0.127,CHI,MOT,1.219,TRUE,30,FALSE,TRUE,FALSE,TRUE,FALSE
73,one cones two cones,yes,0.302,CHI,MOT,1.927,TRUE,30,FALSE,TRUE,FALSE,TRUE,FALSE
74,drop ones,you've dropped one,0.035,CHI,MOT,1.079,TRUE,30,FALSE,TRUE,FALSE,TRUE,FALSE
75,never see big big red bus big red bus came,are you telling me you didn't see the red bus properly because you're having your nappie changed,0.836,CHI,MOT,4.249,TRUE,30,TRUE,FALSE,FALSE,TRUE,FALSE
76,ears have come off,the ears have come off,0.116,CHI,MOT,2.066,TRUE,30,FALSE,TRUE,FALSE,TRUE,FALSE
77,a falled over,who fell over,0.128,CHI,MOT,1.939,TRUE,30,TRUE,FALSE,FALSE,TRUE,TRUE
78,yellow fishes,some fish,-0.12,CHI,MOT,1.2,TRUE,31,FALSE,TRUE,FALSE,TRUE,TRUE
79,some more moneys,oh,-0.12,CHI,MOT,1.747,TRUE,31,FALSE,TRUE,FALSE,TRUE,FALSE
80,mixer has gone,you took it upstairs Thomas,-0.174,CHI,MOT,1.602,TRUE,31,TRUE,FALSE,FALSE,TRUE,FALSE
81,no bin mens men,yes,0.336,CHI,INV,1.463,TRUE,31,FALSE,TRUE,FALSE,TRUE,TRUE
82,all mended,you're mended,0.058,CHI,INV,1.579,TRUE,31,TRUE,FALSE,FALSE,TRUE,FALSE
83,a traffics,is Spud a character from Bob_The_Builder Thomas,1.068,CHI,MOT,1.881,TRUE,31,FALSE,TRUE,FALSE,TRUE,FALSE
84,Maltesers have done,aah,-2.182,CHI,MOT,2.183,TRUE,31,TRUE,FALSE,TRUE,TRUE,FALSE
85,Isabel done a wee wee,Isabel done a wee wee,0.157,CHI,MOT,3.227,TRUE,31,TRUE,FALSE,FALSE,TRUE,FALSE
86,is lots,why don't you do the jigsaw again and then push them all out,0.186,CHI,MOT,1.3,TRUE,31,FALSE,TRUE,FALSE,TRUE,FALSE
87,another ones,there're quite a lot of small pieces here look that'll fit into the digger quite nicely won't they,2.043,CHI,MOT,1.544,TRUE,31,FALSE,TRUE,FALSE,TRUE,FALSE
88,big fishes,oh are we going to find some big fishes there,0.441,CHI,INV,1.265,TRUE,31,FALSE,TRUE,FALSE,TRUE,TRUE
89,mine has gone,oh you'll have_to pour yourself another cup Thomas,0.732,CHI,MOT,2.419,TRUE,31,TRUE,FALSE,FALSE,TRUE,FALSE
90,a whistles,you talking about the digger,1.277,CHI,MOT,0.58,TRUE,31,FALSE,TRUE,FALSE,TRUE,FALSE
91,uh buy fishes and sausages,fishes and sausages,-0.035,CHI,MOT,2.543,TRUE,31,FALSE,TRUE,FALSE,TRUE,TRUE
92,two o'clocks,one o'clock two o'clock,0.04,CHI,MOT,1.103,TRUE,31,FALSE,TRUE,FALSE,TRUE,FALSE
93,um a lot of mans men,pardon,0.685,CHI,MOT,2.089,TRUE,31,FALSE,TRUE,FALSE,TRUE,TRUE
94,lot of mans men,a lot of mans,0.004,CHI,MOT,1.196,TRUE,31,FALSE,TRUE,FALSE,TRUE,TRUE
95,lot of rubbishes,a lot of rubbish,0.197,CHI,MOT,1.718,TRUE,32,FALSE,TRUE,FALSE,TRUE,TRUE
96,kissing mistletoes,kissing mistletoes,0.105,CHI,MOT,2.09,TRUE,32,FALSE,TRUE,FALSE,TRUE,FALSE
97,mistletoes,oh you missed your party,-0.546,CHI,MOT,1.777,TRUE,32,FALSE,TRUE,FALSE,TRUE,FALSE
98,bought brought another one,you've brought another one,-0.162,CHI,MOT,1.509,TRUE,32,TRUE,FALSE,FALSE,TRUE,FALSE
99,uh I want that a clocks now,you want the clock now,0.04,CHI,MOT,2.833,TRUE,32,FALSE,TRUE,FALSE,TRUE,FALSE
100,like Aunty_Mabel done,like Aunty_Mabel does,0.011,CHI,MOT,2.427,TRUE,33,TRUE,FALSE,FALSE,TRUE,FALSE
101,I not see little mouses,NA,0.22,CHI,MOT,2.148,TRUE,33,FALSE,TRUE,FALSE,TRUE,TRUE
102,a my holded it,we'll keep it out because you might have a lot of fun playing with it mightn't you,-0.023,CHI,MOT,1.776,TRUE,33,TRUE,FALSE,FALSE,TRUE,TRUE
103,I wanted it,you want it,0.012,CHI,MOT,0.743,TRUE,33,TRUE,FALSE,FALSE,TRUE,FALSE
104,where has Thomas gone,right we'll leave your,-2.09,CHI,MOT,2.508,TRUE,33,TRUE,FALSE,TRUE,TRUE,FALSE
105,got two lots of chocolates,two chocolates,-0.267,CHI,MOT,1.962,TRUE,33,FALSE,TRUE,TRUE,TRUE,FALSE
106,where's the moneys,well that's your purse isn't it,0.058,CHI,MOT,1.671,TRUE,33,FALSE,TRUE,FALSE,TRUE,FALSE
107,I fixeded fixed it,you fixeded it,0.07,CHI,MOT,1.521,TRUE,33,TRUE,FALSE,FALSE,TRUE,TRUE
108,lots_of fishes,do you think there are a lot of fishes,-0.091,CHI,MOT,2.425,TRUE,33,FALSE,TRUE,FALSE,TRUE,TRUE
109,lots_of fishes here,oh it's opening again,12.236,CHI,INV,1.98,TRUE,33,FALSE,TRUE,FALSE,TRUE,TRUE
110,saw some big fishes,you saw some big fishes,0.023,CHI,MOT,2.066,TRUE,33,FALSE,TRUE,FALSE,TRUE,TRUE
111,I have builded it,you've builded it,0.22,CHI,MOT,1.997,TRUE,33,TRUE,FALSE,FALSE,TRUE,TRUE
112,eated it,she eaten eat,0.046,CHI,MOT,0.941,TRUE,33,TRUE,FALSE,FALSE,TRUE,TRUE
113,it's not it's not fixeded fixed,it's not fixeded,-0.093,CHI,MOT,2.531,TRUE,33,TRUE,FALSE,FALSE,TRUE,TRUE
114,Bob_the_Builder nearly runned,pardon,1.637,CHI,MOT,2.333,TRUE,33,TRUE,FALSE,FALSE,TRUE,TRUE
115,xxx big fishes,yes,NA,CHI,MOT,media info not available,TRUE,33,FALSE,TRUE,FALSE,TRUE,TRUE
116,Bob_Builder fixeded fixed it,Bob_the_Builder fixed it,0.012,CHI,MOT,2.032,TRUE,33,TRUE,FALSE,FALSE,TRUE,TRUE
117,it's all broke broken,it all broken,0.278,CHI,MOT,2.311,TRUE,34,TRUE,FALSE,FALSE,TRUE,FALSE
118,it broken,it hasn't broken,0.371,CHI,MOT,1.649,TRUE,34,TRUE,FALSE,FALSE,TRUE,FALSE
119,I want a traffic signs,and a traffic sign,-0.128,CHI,INV,2.357,TRUE,34,FALSE,TRUE,FALSE,TRUE,FALSE
120,good mans men,he's a good man is he,0.464,CHI,MOT,1.811,TRUE,34,FALSE,TRUE,FALSE,TRUE,TRUE
121,I clowned,you're a clown,0.082,CHI,MOT,0.69,TRUE,34,TRUE,FALSE,FALSE,TRUE,FALSE
122,it's mornings now,no,0.081,CHI,MOT,1.753,TRUE,34,FALSE,TRUE,FALSE,TRUE,FALSE
123,ostrich done a poo in his nappie,no,0.163,CHI,MOT,2.902,TRUE,34,TRUE,FALSE,FALSE,TRUE,FALSE
124,here's his wheels on his on his post vans,oh you can see the wheels on his post van,0.209,CHI,MOT,3.785,TRUE,34,FALSE,TRUE,FALSE,TRUE,FALSE
125,an droved away,he's driving away,0.36,CHI,MOT,1.277,TRUE,34,TRUE,FALSE,FALSE,TRUE,TRUE
126,lady getted off it a did something,the lady got off a blue caravan to get something,0.641,CHI,MOT,4.133,TRUE,34,TRUE,FALSE,FALSE,TRUE,TRUE
127,you have got some more,I know,-0.065,CHI,MOT,1.834,TRUE,34,TRUE,FALSE,FALSE,TRUE,FALSE
128,someone droved over on path,pardon,0.627,CHI,MOT,2.264,TRUE,34,TRUE,FALSE,FALSE,TRUE,TRUE
129,someone droved over path,yes,-0.047,CHI,MOT,1.684,TRUE,34,TRUE,FALSE,FALSE,TRUE,TRUE
130,goed away,I'll just move that,7.389,CHI,MOT,1.509,TRUE,34,TRUE,FALSE,FALSE,TRUE,TRUE
131,I am not finished,well let's well let's just move them over there Thomas,-0.603,CHI,MOT,1.521,TRUE,34,TRUE,FALSE,TRUE,TRUE,FALSE
132,I need that little little toys,there,3.934,CHI,MOT,2.194,TRUE,35,FALSE,TRUE,FALSE,TRUE,FALSE
133,I I see this ones,you saw the balloon did you,-0.093,CHI,MOT,2.81,TRUE,35,FALSE,TRUE,FALSE,TRUE,FALSE
134,Fireman_Sam got in the kitchen making some sausages,Fireman_Sam is in the kitchen making some sausages,0.07,CHI,MOT,5.619,TRUE,35,TRUE,FALSE,FALSE,TRUE,FALSE
135,Dimitra likes post bags an post boxes,oh,1.8,CHI,INV,3.924,TRUE,35,FALSE,TRUE,FALSE,TRUE,FALSE
136,um fishes,fish,0.673,CHI,INV,1.463,TRUE,35,FALSE,TRUE,FALSE,TRUE,TRUE
137,just remember runned,you've just remember to run like the dustbin man when he gets out of his cab,0.06,CHI,MOT,2.635,TRUE,35,TRUE,FALSE,FALSE,TRUE,TRUE
138,droved away,what did the policeman find when he went to see the fireman,1.44,CHI,MOT,1.916,TRUE,35,TRUE,FALSE,FALSE,TRUE,TRUE
139,dustbin man tipper throwed it away,oh,0.209,CHI,MOT,5.84,TRUE,35,TRUE,FALSE,FALSE,TRUE,TRUE
140,Judy throwed it,Judy threw something away,0.233,CHI,MOT,1.904,TRUE,35,TRUE,FALSE,FALSE,TRUE,TRUE
141,big snake goed around,has somebody called you mischief,0.035,CHI,MOT,2.194,TRUE,35,TRUE,FALSE,FALSE,TRUE,TRUE
142,big wind comed up and blows two down,the big the big wind come up and blown two of them down,0.543,CHI,MOT,4.423,TRUE,35,TRUE,FALSE,FALSE,TRUE,TRUE
143,dirty beer lorry bringed that,the beer lorry brings that,0.024,CHI,MOT,2.229,TRUE,35,TRUE,FALSE,FALSE,TRUE,TRUE
144,lorry droved away,driven away Thomas,0.627,CHI,MOT,2.287,TRUE,35,TRUE,FALSE,FALSE,TRUE,TRUE
145,this made delivery,it made a delivery,-0.016,CHI,MOT,1.753,TRUE,36,TRUE,FALSE,FALSE,TRUE,FALSE
146,you hold some two ones,I'll hold these two,0.012,CHI,MOT,1.718,TRUE,36,FALSE,TRUE,FALSE,TRUE,FALSE
147,some silly womans women,what about Bryony and Charlotte,3.936,CHI,MOT,2.125,TRUE,36,FALSE,TRUE,FALSE,TRUE,TRUE
148,I pushed over again,yes,0.639,CHI,MOT,1.799,TRUE,36,TRUE,FALSE,FALSE,TRUE,FALSE
149,and the post lorry driven away,must be my birthday,0.433,CHI,MOT,2.809,TRUE,36,TRUE,FALSE,FALSE,TRUE,FALSE
150,a lorry droved away,driven away,-0.012,CHI,MOT,2.357,TRUE,36,TRUE,FALSE,FALSE,TRUE,TRUE
151,eated that,eated it,-0.046,CHI,MOT,0.871,TRUE,36,TRUE,FALSE,FALSE,TRUE,TRUE
152,flied in here,flied in here did it,NA,CHI,MOT,1.579,TRUE,36,TRUE,FALSE,FALSE,TRUE,TRUE
153,that man put his thing in machine nearly squashed it,oh_gosh,0.336,CHI,MOT,3.541,TRUE,36,TRUE,FALSE,FALSE,TRUE,FALSE
154,I just throwed it in the air,oh you just throwed it in the air and it hit me did it,-0.14,CHI,INV,2.787,TRUE,36,TRUE,FALSE,FALSE,TRUE,TRUE
155,a postman bringed it,the postman,NA,CHI,INV,1.614,TRUE,36,TRUE,FALSE,FALSE,TRUE,TRUE
156,a dustbin mens men arriving,no,0.209,CHI,MOT,2.275,TRUE,36,FALSE,TRUE,FALSE,TRUE,TRUE
157,look a crocodiles,yes,0.279,CHI,MOT,2.31,TRUE,36,FALSE,TRUE,FALSE,TRUE,FALSE
158,I drawed under here,I know you did,-0.093,CHI,MOT,0.998,TRUE,36,TRUE,FALSE,FALSE,TRUE,TRUE
159,dustbin mens men are here,who's here,0.441,CHI,MOT,2.043,TRUE,36,FALSE,TRUE,FALSE,TRUE,TRUE
160,it runned away,you've driven away,5.322,CHI,MOT,1.881,TRUE,36,TRUE,FALSE,FALSE,TRUE,TRUE
161,mans men wanted to kiss the fire engine,I would have liked to have kissed the fireman,0.464,CHI,MOT,2.682,TRUE,36,FALSE,TRUE,FALSE,TRUE,TRUE
162,look I got anything on my hand,xxx,-2.48,CHI,MOT,3.266,TRUE,36,TRUE,FALSE,TRUE,TRUE,FALSE
163,Son Sonia Isabelle falled on the road and and crash went the sick and all over air,NA,0.12,CHI,INV,6.867,TRUE,36,TRUE,FALSE,FALSE,TRUE,TRUE
164,look what I have got my grass,yes,0.36,CHI,MOT,1.705,TRUE,36,TRUE,FALSE,FALSE,TRUE,FALSE
165,two ones,two ones,0.198,CHI,MOT,0.743,TRUE,36,FALSE,TRUE,FALSE,TRUE,FALSE
166,two ones,oh two books,0,CHI,MOT,0.5,TRUE,36,FALSE,TRUE,FALSE,TRUE,FALSE
167,about a lot ones,no no,0.058,CHI,MOT,1.195,TRUE,36,FALSE,TRUE,FALSE,TRUE,FALSE
168,I I eated this one,that's right,-0.034,CHI,MOT,2.089,TRUE,36,TRUE,FALSE,FALSE,TRUE,TRUE
169,Firefighter_Morris lied on the floor,oh right,0.198,CHI,MOT,3.494,TRUE,36,TRUE,FALSE,FALSE,TRUE,TRUE
170,this this wheels can't work,oh has something happened to the wheel,0.545,CHI,MOT,3.019,TRUE,36,FALSE,TRUE,FALSE,TRUE,FALSE
171,I think a mans men sleeps in there,do you think he sleeps in there,-0.011,CHI,MOT,3.808,TRUE,36,FALSE,TRUE,FALSE,TRUE,TRUE
172,I call have some cough smints mints,you call them cough mints,0.395,CHI,MOT,3.855,TRUE,36,FALSE,TRUE,FALSE,TRUE,FALSE
173,things are not fit in bowls,these things are not,1.189,CHI,MOT,2.578,TRUE,37,TRUE,FALSE,FALSE,TRUE,FALSE
174,I have got these,xxx,-0.819,CHI,MOT,3.337,TRUE,37,TRUE,FALSE,TRUE,TRUE,FALSE
175,then the train not watched out,did the train not watch out,0.046,CHI,MOT,2.426,TRUE,37,TRUE,FALSE,FALSE,TRUE,FALSE
176,then he leaved his passengers on the line,oh it's gonna catch it,0.301,CHI,INV,5.213,TRUE,37,TRUE,FALSE,FALSE,TRUE,TRUE
177,es droven driven over the money,oh you're driving over the money,-0.024,CHI,MOT,1.719,TRUE,37,TRUE,FALSE,FALSE,TRUE,?
178,then they said they selled them,and they didn't sell them,1.59,CHI,MOT,2.926,TRUE,37,TRUE,FALSE,FALSE,TRUE,TRUE
179,then come two ones,two ones,0.163,CHI,MOT,3.994,TRUE,37,FALSE,TRUE,FALSE,TRUE,FALSE
180,an the boy runned,and the man,0.313,CHI,MOT,1.231,TRUE,37,TRUE,FALSE,FALSE,TRUE,TRUE
181,I do not want my tracks off on,that's alright love,0.116,CHI,MOT,2.497,TRUE,37,FALSE,TRUE,FALSE,TRUE,FALSE
182,I drinked it all,I know,0.255,CHI,MOT,1.115,TRUE,37,TRUE,FALSE,FALSE,TRUE,TRUE
183,this chairs is tickling me,the chair's tickling you,0.035,CHI,MOT,1.927,TRUE,37,FALSE,TRUE,FALSE,TRUE,FALSE
184,that chairs is on fire,is it,-1.35,CHI,MOT,2.809,TRUE,37,FALSE,TRUE,FALSE,TRUE,FALSE
185,there one moneys,one two three four five,-0.15,CHI,MOT,1.405,TRUE,37,FALSE,TRUE,FALSE,TRUE,FALSE
186,what his name called,he's called Nemo,-0.035,CHI,INV,1.474,TRUE,37,TRUE,FALSE,FALSE,TRUE,FALSE
187,because it falled in the water,really,0.128,CHI,INV,2.02,TRUE,37,TRUE,FALSE,FALSE,TRUE,TRUE
188,then a hat falled on,don't throw that don't throw that,0.814,CHI,INV,2.31,TRUE,37,TRUE,FALSE,FALSE,TRUE,TRUE
189,this not works,no,0.969,CHI,MOT,1.834,TRUE,37,FALSE,TRUE,FALSE,TRUE,FALSE
190,I'm making just painting breads,painting breads,1.114,CHI,MOT,2.973,TRUE,37,FALSE,TRUE,FALSE,TRUE,FALSE
191,this pieces wants a wash in my drink,no,-0.034,CHI,MOT,4.121,TRUE,37,FALSE,TRUE,FALSE,TRUE,FALSE
192,this train not works,no,0.545,CHI,MOT,1.974,TRUE,37,FALSE,TRUE,FALSE,TRUE,FALSE
193,oh dustbin mens men are coming,yes,0.093,CHI,MOT,1.602,TRUE,38,FALSE,TRUE,FALSE,TRUE,TRUE
194,falled on floor,you're just eating your dinner and then you fell on the floor,0.406,CHI,MOT,0.999,TRUE,38,TRUE,FALSE,FALSE,TRUE,TRUE
195,now it sawed it post lorry coming by,hello post lorry,1.545,CHI,MOT,6.292,TRUE,38,TRUE,FALSE,FALSE,TRUE,TRUE
196,Purdie swallow my sausages,Purdie done what,0.302,CHI,MOT,3.448,TRUE,38,FALSE,TRUE,FALSE,TRUE,FALSE
197,two ones,two,0.116,CHI,MOT,1.069,TRUE,38,FALSE,TRUE,FALSE,TRUE,FALSE
198,it flied,we had a yellow balloon and what happened to it,-0.708,CHI,MOT,1.033,TRUE,38,TRUE,FALSE,TRUE,TRUE,TRUE
199,flied,it flying,0.318,CHI,MOT,0.964,TRUE,38,TRUE,FALSE,FALSE,TRUE,TRUE
200,it flieded flied,it flied,0.418,CHI,MOT,0.882,TRUE,38,TRUE,FALSE,FALSE,TRUE,TRUE
201,it flieded flied,yes,0,CHI,MOT,0.999,TRUE,38,TRUE,FALSE,FALSE,TRUE,TRUE
202,it flieded flied it,you let go of the string didn't you,0.093,CHI,MOT,1.555,TRUE,38,TRUE,FALSE,FALSE,TRUE,TRUE
203,where did sent them,well she sent them up to bed,-0.11,CHI,MOT,2.636,TRUE,38,TRUE,FALSE,FALSE,TRUE,FALSE
204,oh xxx two ones have popped,the balloons,0.104,CHI,MOT,2.972,TRUE,38,FALSE,TRUE,FALSE,TRUE,FALSE
205,all down my arm I did,what's the matter,0.613,CHI,MOT,2.093,TRUE,39,TRUE,FALSE,FALSE,TRUE,FALSE
206,and we have beened on the flags tool,let's have a look what your clean under pants have got on them,-0.094,CHI,MOT,3.454,TRUE,39,TRUE,TRUE,FALSE,TRUE,TRUE
207,I just knowed,no you mustn't eat them,0.185,CHI,MOT,1.452,TRUE,39,TRUE,FALSE,FALSE,TRUE,TRUE
208,look what I have done,right,-1.196,CHI,MOT,1.312,TRUE,39,TRUE,FALSE,TRUE,TRUE,FALSE
209,I sweeped it up,oh you're very clever,-0.093,CHI,MOT,1.37,TRUE,39,TRUE,FALSE,FALSE,TRUE,TRUE
210,no you are stuck,am I,0.023,CHI,MOT,1.114,TRUE,39,TRUE,FALSE,FALSE,TRUE,FALSE
211,it's a beautiful flowers,beautiful flowers in the window box on the farm,0.163,CHI,MOT,3.111,TRUE,39,FALSE,TRUE,FALSE,TRUE,FALSE
212,and you wanted to be it was bedtime you were sleepy wasn't you,well I am quite sleepy Thomas,-0.083,CHI,MOT,7.442,TRUE,39,TRUE,FALSE,FALSE,TRUE,FALSE
