utterance,response,speaker,responder,error,age,overreg,response_time,utterance_time,past_tense,plural,ul,error_type,rl
lorry droved away,driven away Thomas,CHI,MOT,TRUE,35,TRUE,0.6269999999999527,2.286999999999807,TRUE,FALSE,3,overregularization,3
some silly womans women,what about Bryony and Charlotte,CHI,MOT,TRUE,36,TRUE,3.9359999999996944,2.125,FALSE,TRUE,4,overregularization,5
a lorry droved away,driven away,CHI,MOT,TRUE,36,TRUE,-0.012000000000170985,2.356999999999971,TRUE,FALSE,4,overregularization,2
eated that,eated it,CHI,MOT,TRUE,36,TRUE,-0.04599999999982174,0.8709999999996398,TRUE,FALSE,2,overregularization,2
a dustbin mens men arriving,no,CHI,MOT,TRUE,36,TRUE,0.20900000000000318,2.2749999999999773,FALSE,TRUE,5,overregularization,1
I drawed under here,I know you did,CHI,MOT,TRUE,36,TRUE,-0.09300000000030195,0.9980000000000473,TRUE,FALSE,4,overregularization,4
dustbin mens men are here,who's here,CHI,MOT,TRUE,36,TRUE,0.44099999999980355,2.04300000000012,FALSE,TRUE,5,overregularization,3
mans men wanted to kiss the fire engine,I would have liked to have kissed the fireman,CHI,MOT,TRUE,36,TRUE,0.4640000000000555,2.6819999999999027,FALSE,TRUE,8,overregularization,9
I I eated this one,that's right,CHI,MOT,TRUE,36,TRUE,-0.0340000000001055,2.089000000000169,TRUE,FALSE,5,overregularization,3
Firefighter_Morris lied on the floor,oh right,CHI,MOT,TRUE,36,TRUE,0.19800000000032014,3.493999999999687,TRUE,FALSE,6,overregularization,2
I think a mans men sleeps in there,do you think he sleeps in there,CHI,MOT,TRUE,36,TRUE,-0.010999999999967258,3.8079999999999927,FALSE,TRUE,8,overregularization,7
then they said they selled them,and they didn't sell them,CHI,MOT,TRUE,37,TRUE,1.5899999999999181,2.925999999999931,TRUE,FALSE,6,overregularization,6
an the boy runned,and the man,CHI,MOT,TRUE,37,TRUE,0.31300000000010186,1.2309999999999945,TRUE,FALSE,4,overregularization,3
I drinked it all,I know,CHI,MOT,TRUE,37,TRUE,0.25500000000010914,1.1149999999997817,TRUE,FALSE,4,overregularization,2
oh dustbin mens men are coming,yes,CHI,MOT,TRUE,38,TRUE,0.09300000000000352,1.6019999999999968,FALSE,TRUE,6,overregularization,1
falled on floor,you're just eating your dinner and then you fell on the floor,CHI,MOT,TRUE,38,TRUE,0.40599999999994907,0.9989999999997963,TRUE,FALSE,3,overregularization,13
now it sawed it post lorry coming by,hello post lorry,CHI,MOT,TRUE,38,TRUE,1.5450000000000017,6.292,TRUE,FALSE,8,overregularization,3
it flied,we had a yellow balloon and what happened to it,CHI,MOT,TRUE,38,TRUE,-0.7079999999999984,1.0329999999999977,TRUE,FALSE,2,overregularization,10
flied,it flying,CHI,MOT,TRUE,38,TRUE,0.3180000000000014,0.9639999999999986,TRUE,FALSE,1,overregularization,2
it flieded flied,it flied,CHI,MOT,TRUE,38,TRUE,0.41799999999999926,0.8819999999999979,TRUE,FALSE,3,overregularization,2
it flieded flied,yes,CHI,MOT,TRUE,38,TRUE,0,0.9990000000000023,TRUE,FALSE,3,overregularization,1
it flieded flied it,you let go of the string didn't you,CHI,MOT,TRUE,38,TRUE,0.09300000000000352,1.5549999999999997,TRUE,FALSE,4,overregularization,9
and we have beened on the flags tool,let's have a look what your clean under pants have got on them,CHI,MOT,TRUE,39,TRUE,-0.09400000000005093,3.4539999999997235,TRUE,TRUE,8,overregularization,14
I just knowed,no you mustn't eat them,CHI,MOT,TRUE,39,TRUE,0.18499999999994543,1.4519999999999982,TRUE,FALSE,3,overregularization,6
I sweeped it up,oh you're very clever,CHI,MOT,TRUE,39,TRUE,-0.09300000000030195,1.3700000000003456,TRUE,FALSE,4,overregularization,5
I just maked it,Tom,CHI,MOT,TRUE,39,TRUE,0.5340000000001055,0.8820000000000618,TRUE,FALSE,4,overregularization,1
you waked him up,have I,CHI,MOT,TRUE,40,TRUE,-0.010999999999967258,1.531999999999698,TRUE,FALSE,4,overregularization,2
because the we all fixeded fixed it,you fixeded it,CHI,MOT,TRUE,41,TRUE,0,2.356999999999971,TRUE,FALSE,7,overregularization,3
I have fixeded fixed it,you've fixeded it,CHI,MOT,TRUE,41,TRUE,0,1.3820000000000618,TRUE,FALSE,5,overregularization,4
it blowed a xxx into a great big sea,it blew what into the sea,CHI,MOT,TRUE,42,TRUE,0,3.981999999999971,TRUE,FALSE,9,overregularization,6
here we comed out of the shops,right,CHI,MOT,TRUE,42,TRUE,-0.01999999999998181,1.83400000000006,TRUE,FALSE,7,overregularization,1
oh I throwed it down,well you'd better pick it up because I can't make it if some of the pieces are missing can I,CHI,MOT,TRUE,42,TRUE,0.04599999999982174,2.6590000000001055,TRUE,FALSE,5,overregularization,22
now tell me the story when the fire catched on,when when next door caught fire,CHI,MOT,TRUE,43,TRUE,0.1510000000000673,5.2590000000000146,TRUE,FALSE,10,overregularization,6
he throwed it in xxx,goodness me,CHI,MOT,TRUE,43,TRUE,-0.10500000000001819,1.8579999999997199,TRUE,FALSE,5,overregularization,2
xxx you cutted it,I didn't cut it,CHI,MOT,TRUE,43,TRUE,-0.010999999999967258,3.8780000000001564,TRUE,FALSE,4,overregularization,5
baby falled down,and look on the same page as,CHI,MOT,TRUE,43,TRUE,0,1.9039999999999964,TRUE,FALSE,3,overregularization,7
now she falled down,I know,CHI,MOT,TRUE,43,TRUE,-1.113999999999976,1.9390000000000214,TRUE,FALSE,4,overregularization,2
Mummy Henry felled fell into a deep blue sea,did he,CHI,MOT,TRUE,43,TRUE,0.7199999999997999,4.9340000000001965,TRUE,FALSE,9,overregularization,2
now I've felled fell in,why did the fire man not put the fire out,CHI,MOT,TRUE,44,TRUE,-0.4530000000004293,1.300000000000182,TRUE,FALSE,6,overregularization,10
cause I eated some of that,have you,CHI,MOT,TRUE,46,TRUE,-0.09299999999996089,1.8700000000000045,TRUE,FALSE,6,overregularization,2
you haven't speaked through it,I haven't speaked through it,CHI,MOT,TRUE,47,TRUE,-0.022999999999996135,2.495999999999981,TRUE,FALSE,6,overregularization,6
I sleeped slept,that you sleeped,CHI,MOT,TRUE,48,TRUE,-0.009000000000014552,1.4979999999999336,TRUE,FALSE,3,overregularization,3
what if I runned ran away,no no no,CHI,MOT,TRUE,48,TRUE,-0.03099999999994907,1.7770000000000437,TRUE,FALSE,6,overregularization,3
I shouldn't of builded built a wall that big,built a wall not builded,CHI,MOT,TRUE,48,TRUE,-0.023999999999887223,3.8899999999998727,TRUE,FALSE,10,overregularization,5
a car runned over him,a car's run over him,CHI,MOT,TRUE,50,TRUE,0.057999999999992724,2.0670000000000073,TRUE,FALSE,5,overregularization,6
look xxx throwed it into here,but they must have been jolly strong to pick up a police car and throw it into the dustbin truck,CHI,MOT,TRUE,50,TRUE,1.497000000000071,2.147999999999911,TRUE,FALSE,6,overregularization,20
xxx that I builded this,one you built,CHI,MOT,TRUE,53,TRUE,-0.03199999999992542,5.0150000000001,TRUE,FALSE,5,overregularization,3
something standed up,oh are you throwing that so sock again are you,CHI,MOT,TRUE,53,TRUE,0.012000000000170985,1.4399999999995998,TRUE,FALSE,3,overregularization,10
it's all bended and squashed,bent,CHI,MOT,TRUE,53,TRUE,-0.041999999999916326,3.3840000000000146,TRUE,FALSE,6,overregularization,1
the hula went ranned run away,has it gone up your sleeve,CHI,MOT,TRUE,54,TRUE,-0.4679999999999609,2.2409999999999854,TRUE,FALSE,6,overregularization,6
I swimmed,you did swim didn't you,CHI,MOT,TRUE,54,TRUE,0.1650000000000773,1.183999999999969,TRUE,FALSE,2,overregularization,6
you maded made it,well you make the next one and I'll slot it in the top,CHI,MOT,TRUE,54,TRUE,0,1.1959999999999127,TRUE,FALSE,4,overregularization,14
I think I think a fish bited her,do you,CHI,MOT,TRUE,54,TRUE,0.0820000000003347,2.7859999999996035,TRUE,FALSE,8,overregularization,2
there's rats outside and mouses inside,there better not be mice inside,CHI,MOT,TRUE,54,TRUE,-0.06899999999995998,2.49599999999964,FALSE,TRUE,7,overregularization,6
I sitted next to him,did you,CHI,MOT,TRUE,55,TRUE,-0.0340000000001055,1.7530000000001564,TRUE,FALSE,5,overregularization,2
don't want to because I've drawed some already,no,CHI,MOT,TRUE,55,TRUE,-0.057999999999992724,2.5779999999999745,TRUE,FALSE,10,overregularization,1
I'll drawed it,you draw,CHI,MOT,TRUE,55,TRUE,-0.02299999999991087,1.0909999999998945,TRUE,FALSE,4,overregularization,2
look at her hairs,xxx hair yes,CHI,MOT,TRUE,55,TRUE,-0.10399999999981446,1.6019999999998618,FALSE,TRUE,4,overregularization,3
and I've only got one two persons,what is it you've got,CHI,MOT,TRUE,55,TRUE,0.04599999999999227,2.833000000000027,FALSE,TRUE,8,overregularization,6
two persons,two persons,CHI,MOT,TRUE,55,TRUE,0.5800000000000409,0.9639999999999986,FALSE,TRUE,2,overregularization,2
I could of not heared him,xxx,CHI,MOT,TRUE,55,TRUE,-0.03600000000005821,2.49599999999964,TRUE,FALSE,6,overregularization,1
we went we drived into the car to see it,did you,CHI,MOT,TRUE,56,TRUE,0.04600000000002069,3.563999999999993,TRUE,FALSE,10,overregularization,2
Thomas gived it me,precisely,CHI,MOT,TRUE,56,TRUE,0.023000000000138243,1.4169999999999163,TRUE,FALSE,4,overregularization,1
I will do the leafs,then if we have that one that one and that one,CHI,MOT,TRUE,56,TRUE,0.03099999999994907,1.1259999999999764,FALSE,TRUE,5,overregularization,11
you said I'm banneded banned from cheese,banneded from cheese,CHI,MOT,TRUE,56,TRUE,0.05600000000004002,2.7170000000000982,TRUE,FALSE,8,overregularization,3
I throwed it down there,where,CHI,MOT,TRUE,56,TRUE,0.5679999999999836,2.2299999999999045,TRUE,FALSE,5,overregularization,1
I just bited this and then it came off,no don't put it,CHI,MOT,TRUE,57,TRUE,-1.0679999999999836,2.380000000000109,TRUE,FALSE,9,overregularization,5
Scoop falled in there,did he,CHI,MOT,TRUE,58,TRUE,0.023000000000138243,1.6369999999997162,TRUE,FALSE,4,overregularization,2
and then all of them falled in,fell,CHI,MOT,TRUE,58,TRUE,1.087999999999738,2.450000000000273,TRUE,FALSE,7,overregularization,1
and then the land falled in the water,the land fell in the water,CHI,MOT,TRUE,58,TRUE,0.5579999999999927,3.6219999999998436,TRUE,FALSE,8,overregularization,6
I throwed it back for them,did you,CHI,MOT,TRUE,58,TRUE,0.1280000000000001,1.5559999999999974,TRUE,FALSE,6,overregularization,2
your sausage machine it has already finded some,yes,CHI,MOT,TRUE,59,TRUE,-0.012000000000057298,4.192000000000007,TRUE,FALSE,8,overregularization,1
xxx lady xxx mens men,well I would imagine ladies and mens are the same really it's only like a waistcoat,CHI,MOT,TRUE,59,TRUE,0.6089999999999236,3.6340000000000146,FALSE,TRUE,5,overregularization,17
dugged dug,the digger had dugged dug,CHI,MOT,TRUE,59,TRUE,0.035000000000081855,0.9629999999999654,TRUE,FALSE,2,overregularization,5
you should of catched it,do you know what these little rough bits are for there,CHI,MOT,TRUE,59,TRUE,-0.0929999999998472,1.6829999999999927,TRUE,FALSE,5,overregularization,11
just pretend there was a cat on the train and it tripped up and he falled on the track,a cat on the train,CHI,MOT,TRUE,59,TRUE,0.19700000000011642,5.143000000000029,TRUE,FALSE,19,overregularization,5
the fence is blowed on the track,oh dear,CHI,MOT,TRUE,59,TRUE,0.9629999999999654,3.6920000000000073,TRUE,FALSE,7,overregularization,2
there were bluey they were very blue in the mens in the gents,Thomas said it was lego blue like lego bricks wasn't it,CHI,MOT,FALSE,59,TRUE,0.02500000000009095,5.886999999999944,TRUE,FALSE,13,no error,12
peas,peas,CHI,MOT,FALSE,24,FALSE,0.7970000000000255,1.393000000000029,FALSE,TRUE,1,no error,1
peas,Thomas,CHI,MOT,FALSE,24,FALSE,0.6389999999998963,1.5900000000000318,FALSE,TRUE,1,no error,1
two eggs,oops,CHI,MOT,FALSE,24,FALSE,4.017000000000053,1.1489999999998872,FALSE,TRUE,2,no error,1
are we done,finished now,CHI,MOT,FALSE,24,FALSE,0.2090000000002874,1.7419999999997344,TRUE,FALSE,3,no error,2
shoes,and I've not had time not had time to clean your shoes yet,CHI,MOT,FALSE,24,FALSE,-1.3590000000000089,1.382000000000005,FALSE,TRUE,1,no error,14
a stuck,we helped Wiggly Feet Pig find Tiny_Pig,CHI,MOT,FALSE,24,FALSE,0.06600000000003092,1.1960000000000264,TRUE,FALSE,2,no error,8
all gone,yes,CHI,MOT,FALSE,24,FALSE,0.11599999999998545,1.1259999999999764,TRUE,FALSE,2,no error,1
all gone,yes,CHI,MOT,FALSE,24,FALSE,0.31399999999996453,0.7770000000000437,TRUE,FALSE,2,no error,1
ooh xxx jobs,to cut down some trees,CHI,MOT,FALSE,24,FALSE,0,2.031000000000404,FALSE,TRUE,3,no error,5
oops xxx stuck woosh,but sometimes they grow a little bit too tall xxx light,CHI,MOT,FALSE,24,FALSE,-0.0340000000001055,1.4980000000000473,TRUE,FALSE,4,no error,11
a gone,it gone hasn't it,CHI,MOT,FALSE,24,FALSE,0.36000000000012733,1.207999999999629,TRUE,FALSE,2,no error,5
this shoes,shoes,CHI,MOT,TRUE,24,FALSE,-0.24399999999999977,2.426000000000002,FALSE,TRUE,2,other error,1
two steps,two steps,CHI,MOT,FALSE,24,FALSE,-1.8450000000002547,1.8460000000000036,FALSE,TRUE,2,no error,2
all done,all done,CHI,MOT,FALSE,24,FALSE,-0.09199999999999875,1.1489999999999991,TRUE,FALSE,2,no error,2
grapes,and grapes,CHI,MOT,FALSE,24,FALSE,0.4650000000000034,0.6849999999999739,FALSE,TRUE,1,no error,2
xxx hat gone,where the hat gone,CHI,MOT,FALSE,24,FALSE,0.160000000000025,1.7069999999999936,TRUE,FALSE,3,no error,4
spoon gone,where the spoon gone,CHI,MOT,FALSE,24,FALSE,0.4270000000000209,1.6669999999999163,TRUE,FALSE,2,no error,4
a gone,where the banana gone,CHI,MOT,FALSE,24,FALSE,0.03099999999994907,1.5069999999998345,TRUE,FALSE,2,no error,4
juice all gone,it can't have all gone,CHI,MOT,FALSE,24,FALSE,2.188000000000102,3.563999999999851,TRUE,FALSE,3,no error,6
all gone,are you hiding Mummy's sandals under the stairs,CHI,MOT,FALSE,24,FALSE,2.1829999999999927,0.5449999999999591,TRUE,FALSE,2,no error,9
quack quack all gone,and then all of a sudden she lifted her head up and then we could see her swimming again on the pond,CHI,MOT,FALSE,24,FALSE,-0.02500000000009095,1.6489999999998872,TRUE,FALSE,4,no error,22
all done,oh he gone,CHI,MOT,FALSE,25,FALSE,-0.11599999999998545,1.5670000000000073,TRUE,FALSE,2,no error,3
all done,all done,CHI,MOT,FALSE,25,FALSE,-0.03500000000002501,1.0219999999999914,TRUE,FALSE,2,no error,2
choos all done,choo_choos all gone,CHI,MOT,FALSE,25,FALSE,0.057999999999992724,1.7639999999998963,TRUE,FALSE,3,no error,4
all done,all done,CHI,MOT,FALSE,25,FALSE,-0.010999999999967258,1.09699999999998,TRUE,FALSE,2,no error,2
shops,shoes,CHI,MOT,FALSE,25,FALSE,-0.25300000000015643,1.106999999999971,FALSE,TRUE,1,no error,1
hey Sue I said,you shouted Sue when you saw her,CHI,MOT,FALSE,25,FALSE,-0.31500000000005457,3.030999999999949,TRUE,FALSE,4,no error,7
new shoes,they're blue aren't they,CHI,MOT,FALSE,25,FALSE,0.5809999999999036,1.2770000000000437,FALSE,TRUE,2,no error,6
a choo gone,choo,CHI,MOT,FALSE,25,FALSE,0.10400000000026921,1.1149999999997817,TRUE,FALSE,3,no error,1
got wash,it needs a wash because you've been putting pieces of apple and bits of toast in it,CHI,MOT,FALSE,25,FALSE,0.019000000000005457,1.4740000000000464,TRUE,FALSE,2,no error,18
dropped the choc_choc on here,have you dropped it,CHI,MOT,FALSE,25,FALSE,2.875,2.449000000000069,TRUE,FALSE,6,no error,4
all done,oh,CHI,MOT,FALSE,25,FALSE,0.04600000000004911,1.3579999999999472,TRUE,FALSE,2,no error,1
oh dear peas,you can't eat those peas,CHI,MOT,FALSE,25,FALSE,-0.6619999999998072,1.5100000000002183,FALSE,TRUE,3,no error,6
a choo_choos gone,and what about this one,CHI,MOT,FALSE,25,FALSE,-0.12800000000004275,1.3000000000000682,TRUE,FALSE,4,no error,5
a steps xxx bus,the windows on the bus go up and down don't they,CHI,MOT,FALSE,25,FALSE,0.8110000000001492,2.367999999999938,FALSE,TRUE,4,no error,12
big Po shoes,big Po,CHI,MOT,FALSE,25,FALSE,0.8240000000000123,1.6020000000000323,FALSE,TRUE,3,no error,2
shoes stuck,thank you,CHI,MOT,FALSE,25,FALSE,0.26700000000005275,1.8230000000000928,TRUE,FALSE,2,no error,2
no shoes,yes,CHI,MOT,FALSE,25,FALSE,-0.04500000000007276,1.8230000000000928,FALSE,TRUE,2,no error,1
Daddad all done,that's not Daddy,CHI,MOT,FALSE,25,FALSE,0.6410000000000196,1.7879999999999825,TRUE,FALSE,3,no error,4
Bow all gone,they're a lot smaller than our biscuits aren't they,CHI,MOT,FALSE,25,FALSE,-0.22100000000000364,1.1489999999998872,TRUE,FALSE,3,no error,11
babies wipes,baby wipes,CHI,MOT,FALSE,25,FALSE,-0.6039999999998145,2.043999999999869,FALSE,TRUE,2,no error,2
all gone,yes,CHI,MOT,FALSE,25,FALSE,0.3250000000000455,0.6040000000000418,TRUE,FALSE,2,no error,1
all gone,what's Mummy saying,CHI,MOT,FALSE,25,FALSE,0.84699999999998,0.6739999999999782,TRUE,FALSE,2,no error,4
done,no,CHI,MOT,FALSE,25,FALSE,-0.046000000000276486,0.6150000000002365,TRUE,FALSE,1,no error,1
keys a Dadda,that's right,CHI,MOT,FALSE,25,FALSE,0.16300000000001091,1.625,FALSE,TRUE,3,no error,3
babies,that's the little piece of bread isn't it,CHI,MOT,FALSE,25,FALSE,0.5339999999996508,0.9059999999999491,FALSE,TRUE,1,no error,10
yellow all done,it come down very quickly because Mummy was outside earlier on putting some plants in,CHI,MOT,FALSE,25,FALSE,0,1.5090000000000146,TRUE,FALSE,3,no error,15
pea all gone,mm,CHI,MOT,FALSE,26,FALSE,-0.24400000000014188,1.4630000000001928,TRUE,FALSE,3,no error,1
men,just wash your hands Thomas,CHI,MOT,FALSE,26,FALSE,0.6660000000000537,0.9059999999999491,FALSE,TRUE,1,no error,5
who did that,oh it's a bit of mess,CHI,MOT,FALSE,26,FALSE,0.17899999999985994,0.8830000000000382,TRUE,FALSE,3,no error,7
all done,all done,CHI,MOT,FALSE,26,FALSE,0.1459999999997308,0.8700000000003456,TRUE,FALSE,2,no error,2
all done,I don't think we'll worry about that,CHI,MOT,FALSE,26,FALSE,-1.0449999999998454,1.7879999999997835,TRUE,FALSE,2,no error,9
all done,two shades of brown,CHI,MOT,FALSE,26,FALSE,0.06900000000018736,0.8360000000000127,TRUE,FALSE,2,no error,4
gone two steps,what are those steps,CHI,MOT,FALSE,26,FALSE,-0.03499999999985448,1.6950000000001637,TRUE,FALSE,3,no error,4
gone on steps,is that how the animals get in,CHI,MOT,FALSE,26,FALSE,0.5460000000002765,2.030999999999949,TRUE,FALSE,3,no error,7
all done,which one looks like Nana,CHI,MOT,FALSE,26,FALSE,0.593000000000302,1.3809999999998581,TRUE,FALSE,2,no error,5
a bix biscuits,biscuits,CHI,MOT,TRUE,26,FALSE,-0.11599999999998545,1.021000000000015,FALSE,TRUE,3,other error,1
xxx a books,two books to look at and when we've looked at the books we'll do a little bit of finger,CHI,MOT,FALSE,26,FALSE,0.1799999999998363,2.6010000000001128,FALSE,TRUE,3,no error,21
a stuck,is he stuck,CHI,MOT,FALSE,26,FALSE,1.2350000000001273,1.3240000000000691,TRUE,FALSE,2,no error,3
men tea,men tea,CHI,MOT,FALSE,26,FALSE,0.2559999999998581,1.3120000000003529,FALSE,TRUE,2,no error,2
all gone,all gone,CHI,MOT,FALSE,26,FALSE,1.28899999999976,1.149000000000342,TRUE,FALSE,2,no error,2
choo choos,because some are nicer than the others aren't they,CHI,MOT,FALSE,26,FALSE,1.0920000000000982,1.5549999999998363,FALSE,TRUE,2,no error,10
all done,just let me count them,CHI,MOT,FALSE,26,FALSE,-0.5920000000000982,0.7660000000000764,TRUE,FALSE,2,no error,5
a stuck,they can count them and what will they find when they count them,CHI,MOT,FALSE,26,FALSE,-0.4760000000001128,1.2540000000003602,TRUE,FALSE,2,no error,13
all gone,just twist the top like that,CHI,MOT,FALSE,26,FALSE,-0.8929999999995744,1.6369999999997162,TRUE,FALSE,2,no error,6
gone,are you going to say goodbye,CHI,MOT,FALSE,26,FALSE,0.4420000000000073,1.1140000000004875,TRUE,FALSE,1,no error,6
drops,we went to see Uncle Brian and Aunty Linda the other day,CHI,MOT,FALSE,26,FALSE,4.933999999999969,1.6490000000001146,FALSE,TRUE,1,no error,12
choo choos juice,yes,CHI,MOT,FALSE,26,FALSE,0.4079999999999018,0.41800000000012005,FALSE,TRUE,3,no error,1
choo choos,you went over a bridge with Daddy yesterday didn't you,CHI,MOT,FALSE,26,FALSE,-1.219000000000051,1.543999999999869,FALSE,TRUE,2,no error,11
xxx books,more books,CHI,MOT,FALSE,26,FALSE,0.023000000000138243,2.507999999999811,FALSE,TRUE,2,no error,2
two xxx chip shops,two three chip shops,CHI,MOT,FALSE,26,FALSE,0.0820000000003347,3.2409999999999854,FALSE,TRUE,4,no error,4
yuck trucks,Thomas,CHI,MOT,FALSE,26,FALSE,0.40200000000004366,1.3929999999995744,FALSE,TRUE,2,no error,1
no touch a trucks,no touch,CHI,MOT,FALSE,26,FALSE,0.3370000000000033,2.1359999999999957,FALSE,TRUE,4,no error,2
n Nin_Nin a men,mhm,CHI,MOT,FALSE,26,FALSE,0.05100000000015825,2.1359999999999673,FALSE,TRUE,5,no error,1
all done,now have you got a picture of a tipper truck,CHI,MOT,FALSE,26,FALSE,0.0820000000003347,1,TRUE,FALSE,2,no error,10
two men,oops,CHI,MOT,FALSE,26,FALSE,0.3650000000000091,1.1380000000001473,FALSE,TRUE,2,no error,1
a more stuck,Thomas you're not stuck,CHI,MOT,FALSE,26,FALSE,0.11599999999998545,3.1230000000000473,TRUE,FALSE,3,no error,5
all done light,it's a bright light,CHI,MOT,FALSE,26,FALSE,1.8919999999999995,2.032,TRUE,FALSE,3,no error,5
two eyes,excuse me,CHI,MOT,FALSE,26,FALSE,0.17399999999997817,1.55600000000004,FALSE,TRUE,2,no error,2
all done,so what have all these faces got,CHI,MOT,FALSE,26,FALSE,1.5209999999999582,0.7899999999999636,TRUE,FALSE,2,no error,7
